Topic ID: D1402_TRAIN | Citance Number: 1 | Reference Article: Westbrook.txt | Citing Article: Agami.txt | Citation Marker Offset: 2912-2934 | Citation Marker:  Westbrook et al., 2005 | Citation Offset:  2647-2935 | Citation Text:  Previous studies have shown that new oncogenes and tumor suppressor genes can be identified using primary human cells genetically designed to be one step short of full-blown transformation ( Kolfschoten et al., 2005, Peeper et al., 2002, Voorhoeve et al., 2006 and Westbrook et al., 2005) | Reference Offset: ['5446-5922'] | Reference Text:  Recently, several cell culture models of human cell transformation have been described in which primary human cells are engineered to express combinations of dominantly acting cellular and viral oncogenes and subsequently measured for anchorage-independent proliferation, an in vitro hallmark of transformation (Elenbaas et al., 2001, Hahn et al., 1999 and Zhao et al., 2004). We sought to identify short-hairpin RNAs (shRNAs) that cooperate within the context of such a model | Discourse Facet:  Method_Citation | Annotator:  A, |

Topic ID: D1402_TRAIN | Citance Number: 2 | Reference Article: Westbrook.txt | Citing Article: Boehm.txt | Citation Marker Offset: 3390-3412 | Citation Marker:  Westbrook et al., 2005 | Citation Offset:  3264-3598 | Citation Text:  These models have facilitated the identification of candidate oncogenes and tumor suppressor genes ( Rowland et al., 2005 and Westbrook et al., 2005). These approaches facilitate the identification of genes that have the potential to drive tumorigenesis but do not alone establish whether these genes truly play a role in human cancer | Reference Offset: ['4688-4999', '33640-33943'] | Reference Text:  We have utilized such an RNAi-based, forward genetic approach to identify genes that suppress oncogenic transformation in a defined human mammary epithelial cell model. We identified approximately 25 potential suppressors of epithelial cell transformation (SECT) genes that represent candidate tumor suppressors ... In this study, we applied an shRNA-based genetic approach to identify genes suppressing oncogenic transformation of human epithelial cells. Within the context of this model, we have identified two previously established tumor suppressor genes (PTEN and TGFBR2) that actively restrain HMEC transformation | Discourse Facet:  Implication_Citation | Annotator:  A, |

Topic ID: D1402_TRAIN | Citance Number: 3 | Reference Article: Westbrook.txt | Citing Article: Boehm.txt | Citation Marker Offset: 44685-44707 | Citation Marker:  Westbrook et al., 2005 | Citation Offset:  44479-44708 | Citation Text:  The development of genome-scale libraries of RNAi reagents has facilitated loss-of-function approaches in mammalian cells that have identified candidate tumor-suppressor genes (Kolfschoten et al., 2005 and Westbrook et al., 2005) | Reference Offset: ['4465-4999', '9453-9659'] | Reference Text:  The emergence of RNA interference (RNAi) as a mechanism to silence gene expression has enabled loss-of-function analysis in mammalian cells in a potentially genomewide manner (Berns et al., 2004 and Paddison et al., 2004). We have utilized such an RNAi-based, forward genetic approach to identify genes that suppress oncogenic transformation in a defined human mammary epithelial cell model. We identified approximately 25 potential suppressors of epithelial cell transformation (SECT) genes that represent candidate tumor suppressors ... To identify endogenous suppressors of epithelial cell transformation (SECT) genes (Figure 1C), we infected TLM-HMECs with a retroviral shRNA library we previously constructed in pSM1 (Paddison et al., 2004) | Discourse Facet:  Implication_Citation | Annotator:  A, |

Topic ID: D1402_TRAIN | Citance Number: 4 | Reference Article: Westbrook.txt | Citing Article: Bric.txt | Citation Marker Offset: 2669-2691 | Citation Marker:  Westbrook et al., 2005 | Citation Offset:  2427-2692 | Citation Text:  Moreover, the availability of genome-wide libraries of shRNAs capable of stably repressing gene expression has enabled genetic screens for determinants of oncogenic transformation as well as potential therapeutic targets (Berns et al., 2007; Westbrook et al., 2005) | Reference Offset: ['9454-9816', '15048-15235', '19141-19464'] | Reference Text:  To identify endogenous suppressors of epithelial cell transformation (SECT) genes (Figure 1C), we infected TLM-HMECs with a retroviral shRNA library we previously constructed in pSM1 (Paddison et al., 2004). This library consists of 28,000 sequence-verified shRNAs targeting ∼9,000 genes, with each shRNA linked to a unique 60 nucleotide sequence (DNA “barcode”) ... As negative regulators of oncogenic transformation, genes isolated in this screen may represent candidate tumor suppressor genes or impinge upon pathways critical to the genesis of cancer ... Consistent with a role in suppressing oncogenic transformation, four of the SECT genes we identified in the screen or initial experiments are either established tumor suppressors (TGF-βRII and PTEN) or regulators of cancer-relevant signaling machinery including the Ras protooncogene (RASA4) and cadherin complexes (CTNND2) | Discourse Facet:  Results_Citation | Annotator:  A, |

Topic ID: D1402_TRAIN | Citance Number: 5 | Reference Article: Westbrook.txt | Citing Article: Campbell.txt | Citation Marker Offset: 16362-16364 | Citation Marker:  32 | Citation Offset:  16289-16386 | Citation Text:  Ironically, Rest has recently been described as both a tumor suppressor [32] and an oncogene [33] | Reference Offset: ['5104-5268', '25451-25610', '34859-35133'] | Reference Text:  In addition, we provide evidence that one of these candidates, the transcriptional repressor REST/NRSF, plays a previously unappreciated role in tumor suppression. ...  Coupled with the function of REST in suppressing epithelial cell transformation (Figure 1E), these data strongly support a role for REST in tumor suppression. ... The novelty of this genetic approach is in the unbiased identification of new and unanticipated tumor suppressor functions. In this regard, our studies provide significant evidence for the identification of a novel tumor suppressor, the transcriptional repressor REST/NRSF | Discourse Facet:  Implication_Citation | Annotator:  A, |

Topic ID: D1402_TRAIN | Citance Number: 6 | Reference Article: Westbrook.txt | Citing Article: Chen,Miller.txt | Citation Marker Offset: 35713-35715 | Citation Marker:  43 | Citation Offset:  35551-35883 | Citation Text:  Particularly, in accordance with the involvement of REST4 and another C-terminal truncated REST-FS (caused by a frameshift mutation) in tumorigenesis [26]–[28], [43], we found that the usage of E5 as the last exon, which is predictive of a C-terminal truncated REST4-like protein, is differentially linked to various types of cancer | Reference Offset: ['1180-1353', '27446-27748'] | Reference Text:  Furthermore, we detect a frameshift mutation of the REST gene in colorectal cancer cells that encodes a dominantly acting truncation capable of transforming epithelial cells ... We identified a single-nucleotide deletion within REST exon 4 of cells derived from a colorectal adenocarcinoma (DLD-1) ( Figure 4C). This frameshift mutation results in a premature termination codon in the center of the coding sequence, yielding a protein with a predicted size of approximately 85 kDa | Discourse Facet:  Results_Citation | Annotator:  A, |

Topic ID: D1402_TRAIN | Citance Number: 7 | Reference Article: Westbrook.txt | Citing Article: Conti.txt | Citation Marker Offset: 17018-17020 | Citation Marker:  20 | Citation Offset:  16834-17027 | Citation Text:  Interfering with mechanisms regulating REST post-translational modifications have been shown to affect NSCs differentiation and cellular transformation in non-neural epithelial cells [20], [31] | Reference Offset: ['30044-30520'] | Reference Text:  As such, we examined the impact of disrupting REST function (Figure 5A) on the activation of the PI(3)K pathway. TLM-HMECs expressing control or REST-shRNA were deprived of growth factors, restimulated with EGF for various times, and subsequently analyzed for activating phosphorylation of Akt (serine 473), an essential effector of PI(3)K signaling. Stimulation of Akt phosphorylation by EGF was enhanced in cells expressing REST-shRNA throughout the time course (Figure 5B) | Discourse Facet:  Results_Citation | Annotator:  A, |

Topic ID: D1402_TRAIN | Citance Number: 8 | Reference Article: Westbrook.txt | Citing Article: Conti.txt | Citation Marker Offset: 3710-3712 | Citation Marker:  20 | Citation Offset:  3608-3841 | Citation Text:  In human epithelial cells REST has been described as a potent suppressor of malignant transformation [20] and its deregulation has been associated with several non-neural tumors including breast and small cell lung cancers [21], [22] | Reference Offset: ['25452-25609', '34859-35132'] | Reference Text:  Coupled with the function of REST in suppressing epithelial cell transformation (Figure 1E), these data strongly support a role for REST in tumor suppression ... The novelty of this genetic approach is in the unbiased identification of new and unanticipated tumor suppressor functions. In this regard, our studies provide significant evidence for the identification of a novel tumor suppressor, the transcriptional repressor REST/NRSF | Discourse Facet:  Implication_Citation | Annotator:  A, |

Topic ID: D1402_TRAIN | Citance Number: 9 | Reference Article: Westbrook.txt | Citing Article: Gewinner.txt | Citation Marker Offset: 5703-5725 | Citation Marker:  Westbrook et al., 2005 | Citation Offset:  5556-5726 | Citation Text:  Further, INPP4B was identified out of a collection of RNAis to give rise to anchorage-independent growth in human mammary epithelial cells (HMEC) (Westbrook et al., 2005) | Reference Offset: ['12386-12431', '12565-12592', '13215-13550'] | Reference Text:  Suppressors of Epithelial Cell Transformation ... INPP4B*	PIP2 phosphatase	ND ... This table lists gene targets of unique, sequence-verified shRNAs identified in 200 anchorage-independent colonies isolated from the screen. shRNAs identified in the context of double integrations (seven in total) were disregarded. Ninety percent of isolated anchorage-independent colonies encoded one of eight shRNAs (demarcated by *) | Discourse Facet:  Results_Citation | Annotator:  A, |

Topic ID: D1402_TRAIN | Citance Number: 10 | Reference Article: Westbrook.txt | Citing Article: Hitomi.txt | Citation Marker Offset: 30602-30624 | Citation Marker:  Westbrook et al., 2005 | Citation Offset:  30492-30809 | Citation Text:  On the other hand, RASA4/CAPRI (RAS p21 protein activator 4), a suppressor of epithelial cell transformation (Westbrook et al., 2005), functions as a Ca(2+)-dependent Ras GTPase-activating protein (GAP) to inactivate the Ras-MAPK pathway following a stimulus that elevates intracellular calcium (Lockyer et al., 2001) | Reference Offset: ['12386-12431', '12593-12654', '19141-19464'] | Reference Text:  Suppressors of Epithelial Cell Transformation ... RASA4*	Ras GAP; calcium-responsive inhibitor of Ras signaling ... Consistent with a role in suppressing oncogenic transformation, four of the SECT genes we identified in the screen or initial experiments are either established tumor suppressors (TGF-βRII and PTEN) or regulators of cancer-relevant signaling machinery including the Ras protooncogene (RASA4) and cadherin complexes (CTNND2) | Discourse Facet:  Results_Citation | Annotator:  A, |

Topic ID: D1402_TRAIN | Citance Number: 11 | Reference Article: Westbrook.txt | Citing Article: Sun.txt | Citation Marker Offset: 37043-37065 | Citation Marker:  Westbrook et al., 2005 | Citation Offset:  36892-37148 | Citation Text:  REST is a transcription factor that represses neuronal genes in non-neural tissues, and plays a prominent tumor suppressor role in epithelial tissues (Westbrook et al., 2005), though the mechanism by which REST suppresses tumorigenesis is poorly understood | Reference Offset: ['5104-5267', '22754-23061', '34859-35132'] | Reference Text:  In addition, we provide evidence that one of these candidates, the transcriptional repressor REST/NRSF, plays a previously unappreciated role in tumor suppression ...  RE1-silencing transcription factor (REST)/neuron-restrictive silencing factor (NRSF) is a transcriptional regulator best characterized for its role in repressing neuronal genes including neurotrophins and cell-adhesion molecules in nonneuronal tissues ( Chong et al., 1995 and Schoenherr and Anderson, 1995 ... The novelty of this genetic approach is in the unbiased identification of new and unanticipated tumor suppressor functions. In this regard, our studies provide significant evidence for the identification of a novel tumor suppressor, the transcriptional repressor REST/NRSF | Discourse Facet:  Implication_Citation | Annotator:  A, |

Topic ID: D1402_TRAIN | Citance Number: 12 | Reference Article: Westbrook.txt | Citing Article: Sun.txt | Citation Marker Offset: 5977-5999 | Citation Marker:  Westbrook et al., 2005 | Citation Offset:  5857-6000 | Citation Text:  These cells (herein termed TLM-HMECs) are immortal but do not proliferate in the absence of extracellular matrix (ECM) (Westbrook et al., 2005) | Reference Offset: ['6134-6351', '6498-6672'] | Reference Text:  The cells utilized for this screen (referred to as TLM-HMECs) were created by sequentially introducing the human telomerase catalytic subunit (hTERT) and the large T-antigen (LT) of SV40 into HMECs (Zhao et al., 2003) ... Important to the efficacy of this screen, these cells do not proliferate in the absence of extracellular matrix (<1 colony in 104; Figure 1B, left panel) ( Zhao et al., 2003) | Discourse Facet:  Method_Citation | Annotator:  A, |

Topic ID: D1402_TRAIN | Citance Number: 13 | Reference Article: Westbrook.txt | Citing Article: Sun.txt | Citation Marker Offset: 61958-61980 | Citation Marker:  Westbrook et al., 2005 | Citation Offset:  61910-62045 | Citation Text:  HMECs expressing hTERT and SV40 LT (TLM-HMECs) (Westbrook et al., 2005) were cultured in mammary epithelial growth medium (MEGM, Lonza) | Reference Offset: ['6134-6351', '43498-43630'] | Reference Text:  The cells utilized for this screen (referred to as TLM-HMECs) were created by sequentially introducing the human telomerase catalytic subunit (hTERT) and the large T-antigen (LT) of SV40 into HMECs (Zhao et al., 2003) ... HMECs expressing hTERT and SV40 LT (TLM-HMECs) (Zhao et al., 2003) were cultured in mammary epithelial growth medium (MEGM, Cambrex) | Discourse Facet:  Method_Citation | Annotator:  A, |

