Topic ID: D1402_TRAIN | Citance Number: 1 | Reference Article: Westbrook.txt | Citing Article: Agami.txt | Citation Marker Offset: 2912-2934 | Citation Marker:  Westbrook et al., 2005 | Citation Offset:  2647-2935 | Citation Text:  Previous studies have shown that new oncogenes and tumor suppressor genes can be identified using primary human cells genetically designed to be one step short of full-blown transformation ( Kolfschoten et al., 2005, Peeper et al., 2002, Voorhoeve et al., 2006 and Westbrook et al., 2005) | Reference Offset: ['3508-3941', '4466-5000'] | Reference Text:  As such, new strategies to delineate genes with functional relevance to tumor initiation and development are essential to understanding these processes. One approach to this problem involves the use of in vitro models of human cell transformation. In such models, primary cells are transformed into tumorigenic derivatives by the coexpression of cooperating oncogenes (Elenbaas et al., 2001, Hahn et al., 1999 and Zhao et al., 2004) ... The emergence of RNA interference (RNAi) as a mechanism to silence gene expression has enabled loss-of-function analysis in mammalian cells in a potentially genomewide manner (Berns et al., 2004 and Paddison et al., 2004). We have utilized such an RNAi-based, forward genetic approach to identify genes that suppress oncogenic transformation in a defined human mammary epithelial cell model. We identified approximately 25 potential suppressors of epithelial cell transformation (SECT) genes that represent candidate tumor suppressors | Discourse Facet:  Method_Citation | Annotator:  B, |

Topic ID: D1402_TRAIN | Citance Number: 2 | Reference Article: Westbrook.txt | Citing Article: Boehm.txt | Citation Marker Offset: 3390-3412 | Citation Marker:  Westbrook et al., 2005 | Citation Offset:  2908-3598 | Citation Text:  Recent work indicates that a limited set of genetic changes suffice to transform human cells (Hahn et al., 1999). Specifically, the coexpression of the telomerase catalytic subunit (hTERT), the SV40 Large T (LT) and small t (ST) oncoproteins, and an activated allele of H-RAS (H-RASV12) render a wide range of human cells tumorigenic ( Zhao et al., 2004). These models have facilitated the identification of candidate oncogenes and tumor suppressor genes ( Rowland et al., 2005 and Westbrook et al., 2005). These approaches facilitate the identification of genes that have the potential to drive tumorigenesis but do not alone establish whether these genes truly play a role in human cancer | Reference Offset: ['3508-3941', '5446-5821', '6135-6352'] | Reference Text:  As such, new strategies to delineate genes with functional relevance to tumor initiation and development are essential to understanding these processes. One approach to this problem involves the use of in vitro models of human cell transformation. In such models, primary cells are transformed into tumorigenic derivatives by the coexpression of cooperating oncogenes (Elenbaas et al., 2001, Hahn et al., 1999 and Zhao et al., 2004) ... Recently, several cell culture models of human cell transformation have been described in which primary human cells are engineered to express combinations of dominantly acting cellular and viral oncogenes and subsequently measured for anchorage-independent proliferation, an in vitro hallmark of transformation (Elenbaas et al., 2001, Hahn et al., 1999 and Zhao et al., 2004) ... The cells utilized for this screen (referred to as TLM-HMECs) were created by sequentially introducing the human telomerase catalytic subunit (hTERT) and the large T-antigen (LT) of SV40 into HMECs (Zhao et al., 2003) | Discourse Facet:  Method_Citation | Annotator:  B, |

Topic ID: D1402_TRAIN | Citance Number: 3 | Reference Article: Westbrook.txt | Citing Article: Boehm.txt | Citation Marker Offset: 44685-44707 | Citation Marker:  Westbrook et al., 2005 | Citation Offset:  44479-44708 | Citation Text:  The development of genome-scale libraries of RNAi reagents has facilitated loss-of-function approaches in mammalian cells that have identified candidate tumor-suppressor genes (Kolfschoten et al., 2005 and Westbrook et al., 2005) | Reference Offset: ['4466-5000'] | Reference Text:  The emergence of RNA interference (RNAi) as a mechanism to silence gene expression has enabled loss-of-function analysis in mammalian cells in a potentially genomewide manner (Berns et al., 2004 and Paddison et al., 2004). We have utilized such an RNAi-based, forward genetic approach to identify genes that suppress oncogenic transformation in a defined human mammary epithelial cell model. We identified approximately 25 potential suppressors of epithelial cell transformation (SECT) genes that represent candidate tumor suppressors | Discourse Facet:  Method_Citation | Annotator:  B, |

Topic ID: D1402_TRAIN | Citance Number: 4 | Reference Article: Westbrook.txt | Citing Article: Bric.txt | Citation Marker Offset: 2669-2691 | Citation Marker:  Westbrook et al., 2005 | Citation Offset:  2239-2692 | Citation Text:  RNA interference facilitates loss-of-function genetics in mammalian cells and has been used to explore various aspects of cancer biology, including the function of tumor suppressor genes. Moreover, the availability of genome-wide libraries of shRNAs capable of stably repressing gene expression has enabled genetic screens for determinants of oncogenic transformation as well as potential therapeutic targets (Berns et al., 2007; Westbrook et al., 2005) | Reference Offset: ['4466-5000'] | Reference Text:  The emergence of RNA interference (RNAi) as a mechanism to silence gene expression has enabled loss-of-function analysis in mammalian cells in a potentially genomewide manner (Berns et al., 2004 and Paddison et al., 2004). We have utilized such an RNAi-based, forward genetic approach to identify genes that suppress oncogenic transformation in a defined human mammary epithelial cell model. We identified approximately 25 potential suppressors of epithelial cell transformation (SECT) genes that represent candidate tumor suppressors | Discourse Facet:  Method_Citation | Annotator:  B, |

Topic ID: D1402_TRAIN | Citance Number: 5 | Reference Article: Westbrook.txt | Citing Article: Campbell.txt | Citation Marker Offset: 16362-16364 | Citation Marker:  32 | Citation Offset:  16289-16386 | Citation Text:  Ironically, Rest has recently been described as both a tumor suppressor [32] and an oncogene [33] | Reference Offset: ['5105-5267', '35399-36732'] | Reference Text:  In addition, we provide evidence that one of these candidates, the transcriptional repressor REST/NRSF, plays a previously unappreciated role in tumor suppression ... Here, we present several lines of evidence that REST may play a role in tumor suppression in humans. First, reduced REST function (mediated by RNAi or expression of dominant-negative REST) promotes transformation of human epithelial cells. Conversely, reconstitution of REST expression elicits a dramatic proliferation defect in colon cancer cells that have lost endogenous REST function. Strikingly, an independent aCGH-based search for genomic loci characterized by recurrent microdeletions identified the REST locus as a high-confidence target in colorectal cancer. This high-confidence list includes two previously established tumor suppressors, p16INK4A and TGFβRII (Derynck et al., 2001, Ruas and Peters, 1998 and Siegel and Massague, 2003), the latter of which was also identified as a SECT gene. In addition, larger deletions encompassing the REST gene were frequent in colon tumors and tumor cell lines. Furthermore, we isolated a frameshift mutation of the REST coding region in colorectal tumor cells that displays properties of a dominant negative, transforming human epithelial cells to a level similar to REST shRNAs. Finally, we show that impaired REST function enhances the intensity and duration of PI(3)K signaling, a pathway that is aberrantly activated in many if not all human cancers (Vivanco and Sawyers, 2002) | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1402_TRAIN | Citance Number: 6 | Reference Article: Westbrook.txt | Citing Article: Chen,Miller.txt | Citation Marker Offset: 35713-35715 | Citation Marker:  43 | Citation Offset:  35297-35883 | Citation Text:  In accordance, we found that numerous REST splice variants produced by E2/E3 skipping and alternative usage of the first and last exons, which are predictive of altered REST activity, are generally but differentially linked to different types of cancer. Particularly, in accordance with the involvement of REST4 and another C-terminal truncated REST-FS (caused by a frameshift mutation) in tumorigenesis [26]–[28], [43], we found that the usage of E5 as the last exon, which is predictive of a C-terminal truncated REST4-like protein, is differentially linked to various types of cancer | Reference Offset: ['27446-27939', '36312-36529'] | Reference Text:  We identified a single-nucleotide deletion within REST exon 4 of cells derived from a colorectal adenocarcinoma (DLD-1) ( Figure 4C). This frameshift mutation results in a premature termination codon in the center of the coding sequence, yielding a protein with a predicted size of approximately 85 kDa. This frameshift mutant, referred to as REST-FS, was detected by N-terminal REST antibodies in lysates from DLD-1 cells but not those of other colon cancer cell lines ( Figure 4D, top panel) ... Furthermore, we isolated a frameshift mutation of the REST coding region in colorectal tumor cells that displays properties of a dominant negative, transforming human epithelial cells to a level similar to REST shRNAs | Discourse Facet:  Results_Citation | Annotator:  B, |
