Topic ID: D1402_TRAIN | Citance Number: 1 | Reference Article: Westbrook.txt | Citing Article: Agami.txt | Citation Marker Offset: 2912-2934 | Citation Marker:  Westbrook et al., 2005 | Citation Offset:  2647-2935 | Citation Text:  Previous studies have shown that new oncogenes and tumor suppressor genes can be identified using primary human cells genetically designed to be one step short of full-blown transformation ( Kolfschoten et al., 2005, Peeper et al., 2002, Voorhoeve et al., 2006 and Westbrook et al., 2005) | Reference offset: ['5446-5922'] | Reference Text:  Recently, several cell culture models of human cell transformation have been described in which primary human cells are engineered to express combinations of dominantly acting cellular and viral oncogenes and subsequently measured for anchorage-independent proliferation, an in vitro hallmark of transformation (Elenbaas et al., 2001, Hahn et al., 1999 and Zhao et al., 2004). We sought to identify short-hairpin RNAs (shRNAs) that cooperate within the context of such a model | Discourse Facet:  Method_Citation | Annotator:  C, |

Topic ID: D1402_TRAIN | Citance Number: 2 | Reference Article: Westbrook.txt | Citing Article: Boehm.txt | Citation Marker Offset: 3390-3412 | Citation Marker:  Westbrook et al., 2005 | Citation Offset:  3264-3413 | Citation Text:  These models have facilitated the identification of candidate oncogenes and tumor suppressor genes ( Rowland et al., 2005 and Westbrook et al., 2005) | Reference offset: ['33640-33778'] | Reference Text:  In this study, we applied an shRNA-based genetic approach to identify genes suppressing oncogenic transformation of human epithelial cells | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1402_TRAIN | Citance Number: 3 | Reference Article: Westbrook.txt | Citing Article: Boehm.txt | Citation Marker Offset: 44685-44707 | Citation Marker:  Westbrook et al., 2005 | Citation Offset:  44479-44708 | Citation Text:  The development of genome-scale libraries of RNAi reagents has facilitated loss-of-function approaches in mammalian cells that have identified candidate tumor-suppressor genes (Kolfschoten et al., 2005 and Westbrook et al., 2005) | Reference offset: ['4466-4856'] | Reference Text:  The emergence of RNA interference (RNAi) as a mechanism to silence gene expression has enabled loss-of-function analysis in mammalian cells in a potentially genomewide manner (Berns et al., 2004 and Paddison et al., 2004). We have utilized such an RNAi-based, forward genetic approach to identify genes that suppress oncogenic transformation in a defined human mammary epithelial cell model | Discourse Facet:  Results_Citation | Annotator:  C, |

Topic ID: D1402_TRAIN | Citance Number: 4 | Reference Article: Westbrook.txt | Citing Article: Bric.txt | Citation Marker Offset: 2669-2691 | Citation Marker:  Westbrook et al., 2005 | Citation Offset:  2427-2692 | Citation Text:  Moreover, the availability of genome-wide libraries of shRNAs capable of stably repressing gene expression has enabled genetic screens for determinants of oncogenic transformation as well as potential therapeutic targets (Berns et al., 2007; Westbrook et al., 2005) | Reference offset: ['9454-9660'] | Reference Text:  To identify endogenous suppressors of epithelial cell transformation (SECT) genes (Figure 1C), we infected TLM-HMECs with a retroviral shRNA library we previously constructed in pSM1 (Paddison et al., 2004) | Discourse Facet:  Method_Citation | Annotator:  C, |

Topic ID: D1402_TRAIN | Citance Number: 5 | Reference Article: Westbrook.txt | Citing Article: Campbell.txt | Citation Marker Offset: 16362-16364 | Citation Marker:  32 | Citation Offset:  16289-16386 | Citation Text:  Ironically, Rest has recently been described as both a tumor suppressor [32] and an oncogene [33] | Reference offset: ['944-1088', '1477-1639', '25451-25608'] | Reference Text:  In addition, we uncovered a previously unrecognized tumor suppressor role for REST/NRSF, a transcriptional repressor of neuronal gene expression ...  These results implicate REST as a human tumor suppressor and provide a novel approach to identifying candidate genes that suppress the development of human cance ...  Coupled with the function of REST in suppressing epithelial cell transformation (Figure 1E), these data strongly support a role for REST in tumor suppressio | Discourse Facet:  Results_Citation | Annotator:  C, |

Topic ID: D1402_TRAIN | Citance Number: 6 | Reference Article: Westbrook.txt | Citing Article: Chen,Miller.txt | Citation Marker Offset: 35713-35715 | Citation Marker:  43 | Citation Offset:  35551-35883 | Citation Text:  Particularly, in accordance with the involvement of REST4 and another C-terminal truncated REST-FS (caused by a frameshift mutation) in tumorigenesis [26]–[28], [43], we found that the usage of E5 as the last exon, which is predictive of a C-terminal truncated REST4-like protein, is differentially linked to various types of cancer | Reference offset: ['28641-28822', '29162-29367'] | Reference Text:  REST-FS lacks the C-terminal repressor domain that interacts with CoREST, a corepressor molecule that mediates transcriptional repression and silencing by REST (Andres et al., 1999) ... The ability of REST-FS to phenocopy the transforming activity of REST shRNAs strongly suggests that this mutant interferes with the functions of endogenous REST that restrain epithelial cell transformation | Discourse Facet:  Implication_Citation | Annotator:  C, |

Topic ID: D1402_TRAIN | Citance Number: 7 | Reference Article: Westbrook.txt | Citing Article: Conti.txt | Citation Marker Offset: 17018-17020 | Citation Marker:  20 | Citation Offset:  16834-17027 | Citation Text:  Interfering with mechanisms regulating REST post-translational modifications have been shown to affect NSCs differentiation and cellular transformation in non-neural epithelial cells [20], [31] | Reference offset: ['29161-29367'] | Reference Text:  The ability of REST-FS to phenocopy the transforming activity of REST shRNAs strongly suggests that this mutant interferes with the functions of endogenous REST that restrain epithelial cell transformation | Discourse Facet:  Results_Citation | Annotator:  C, |

Topic ID: D1402_TRAIN | Citance Number: 8 | Reference Article: Westbrook.txt | Citing Article: Conti.txt | Citation Marker Offset: 3710-3712 | Citation Marker:  20 | Citation Offset:  3608-3841 | Citation Text:  In human epithelial cells REST has been described as a potent suppressor of malignant transformation [20] and its deregulation has been associated with several non-neural tumors including breast and small cell lung cancers [21], [22] | Reference offset: ['25451-25609'] | Reference Text:  Coupled with the function of REST in suppressing epithelial cell transformation (Figure 1E), these data strongly support a role for REST in tumor suppression | Discourse Facet:  Results_Citation | Annotator:  C, |

Topic ID: D1402_TRAIN | Citance Number: 9 | Reference Article: Westbrook.txt | Citing Article: Gewinner.txt | Citation Marker Offset: 5703-5725 | Citation Marker:  Westbrook et al., 2005 | Citation Offset:  5556-5726 | Citation Text:  Further, INPP4B was identified out of a collection of RNAis to give rise to anchorage-independent growth in human mammary epithelial cells (HMEC) (Westbrook et al., 2005) | Reference offset: ['10299-10458', '12564-12591'] | Reference Text:  Approximately 100 anchorage-independent clones were pooled and analyzed for the enrichment of barcodes linked to the individual shRNAs (Figure 1D, left panel) ... INPP4B*	PIP2 phosphatase	N | Discourse Facet:  Results_Citation | Annotator:  C, |

Topic ID: D1402_TRAIN | Citance Number: 10 | Reference Article: Westbrook.txt | Citing Article: Hitomi.txt | Citation Marker Offset: 30602-30624 | Citation Marker:  Westbrook et al., 2005 | Citation Offset:  30492-30809 | Citation Text:  On the other hand, RASA4/CAPRI (RAS p21 protein activator 4), a suppressor of epithelial cell transformation (Westbrook et al., 2005), functions as a Ca(2+)-dependent Ras GTPase-activating protein (GAP) to inactivate the Ras-MAPK pathway following a stimulus that elevates intracellular calcium (Lockyer et al., 2001) | Reference offset: ['668-784', '34054-34212'] | Reference Text:  Here we report an RNAi-based genetic screen for genes that suppress transformation of human mammary epithelial cells ... For example, we isolated the calcium-sensing Ras-GAP CAPRI (RASA4), a previously described negative regulator of the Ras protooncogene ( Lockyer et al., 2001) | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1402_TRAIN | Citance Number: 11 | Reference Article: Westbrook.txt | Citing Article: Sun.txt | Citation Marker Offset: 37043-37065 | Citation Marker:  Westbrook et al., 2005 | Citation Offset:  36892-37148 | Citation Text:  REST is a transcription factor that represses neuronal genes in non-neural tissues, and plays a prominent tumor suppressor role in epithelial tissues (Westbrook et al., 2005), though the mechanism by which REST suppresses tumorigenesis is poorly understood | Reference offset: ['944-1088'] | Reference Text:  In addition, we uncovered a previously unrecognized tumor suppressor role for REST/NRSF, a transcriptional repressor of neuronal gene expression | Discourse Facet:  Results_Citation | Annotator:  C, |

Topic ID: D1402_TRAIN | Citance Number: 12 | Reference Article: Westbrook.txt | Citing Article: Sun.txt | Citation Marker Offset: 5977-5999 | Citation Marker:  Westbrook et al., 2005 | Citation Offset:  5857-6000 | Citation Text:  These cells (herein termed TLM-HMECs) are immortal but do not proliferate in the absence of extracellular matrix (ECM) (Westbrook et al., 2005) | Reference offset: ['6499-6673'] | Reference Text:  Important to the efficacy of this screen, these cells do not proliferate in the absence of extracellular matrix (<1 colony in 104; Figure 1B, left panel) ( Zhao et al., 2003) | Discourse Facet:  Results_Citation | Annotator:  C, |

Topic ID: D1402_TRAIN | Citance Number: 13 | Reference Article: Westbrook.txt | Citing Article: Sun.txt | Citation Marker Offset: 61958-61980 | Citation Marker:  Westbrook et al., 2005 | Citation Offset:  61910-62045 | Citation Text:  HMECs expressing hTERT and SV40 LT (TLM-HMECs) (Westbrook et al., 2005) were cultured in mammary epithelial growth medium (MEGM, Lonza) | Reference offset: ['43499-43631'] | Reference Text:  HMECs expressing hTERT and SV40 LT (TLM-HMECs) (Zhao et al., 2003) were cultured in mammary epithelial growth medium (MEGM, Cambrex) | Discourse Facet:  Method_Citation | Annotator:  C, |

Topic ID: D1402_TRAIN | Citance Number: 14 | Reference Article: Westbrook.txt | Citing Article: Voorhoeve.txt | Citation Marker Offset: 4329-4351 | Citation Marker:  Westbrook et al., 2005 | Citation Offset:  4194-4352 | Citation Text:  Recently, these neoplastic transformation assays were used to uncover novel human tumor suppressor genes (Kolfschoten et al., 2005 and Westbrook et al., 2005) | Reference offset: ['4689-4856', '42105-42447'] | Reference Text:  We have utilized such an RNAi-based, forward genetic approach to identify genes that suppress oncogenic transformation in a defined human mammary epithelial cell model ... Indeed, as in vitro models of human cell transformation are engineered to more accurately reflect the molecular changes and heterotypic cellular complexity found in human cancers, we anticipate that this general strategy will enable a much more complete understanding of the pathways and processes that cancer cells usurp during tumorigenesis | Discourse Facet:  Implication_Citation | Annotator:  C, |

