Topic ID: D1402_TRAIN | Citance Number: 1 | Reference Article: Westbrook.txt | Citing Article: Agami.txt | Citation Marker Offset: 2912-2934 | Citation Marker:  Westbrook et al., 2005 | Citation Offset:  2647-2935 | Citation Text:  Previous studies have shown that new oncogenes and tumor suppressor genes can be identified using primary human cells genetically designed to be one step short of full-blown transformation ( Kolfschoten et al., 2005, Peeper et al., 2002, Voorhoeve et al., 2006 and Westbrook et al., 2005) | Reference Offset: ['3662-4196', '5446-5821'] | Reference Text:  One approach to this problem involves the use of in vitro models of human cell transformation. In such models, primary cells are transformed into tumorigenic derivatives by the coexpression of cooperating oncogenes (Elenbaas et al., 2001, Hahn et al., 1999 and Zhao et al., 2004). These experimental models have been useful in delineating the minimum genetic perturbations required for transformation of various human cell types as well as evaluating the functional cooperation between a gene of interest and a defined genetic context ... Recently, several cell culture models of human cell transformation have been described in which primary human cells are engineered to express combinations of dominantly acting cellular and viral oncogenes and subsequently measured for anchorage-independent proliferation, an in vitro hallmark of transformation (Elenbaas et al., 2001, Hahn et al., 1999 and Zhao et al., 2004) | Discourse Facet:  Method_Citation | Annotator:  E, |

Topic ID: D1402_TRAIN | Citance Number: 2 | Reference Article: Westbrook.txt | Citing Article: Boehm.txt | Citation Marker Offset: 3390-3412 | Citation Marker:  Westbrook et al., 2005 | Citation Offset:  2550-3413 | Citation Text:  One experimental approach is to identify genes and proteins that drive cellular transformation through the construction of experimental models of cancer. Together with increasingly sophisticated genetically engineered murine cancer models, human cell-based systems enable the examination of the roles of specific mutations implicated in cell transformation. Recent work indicates that a limited set of genetic changes suffice to transform human cells (Hahn et al., 1999). Specifically, the coexpression of the telomerase catalytic subunit (hTERT), the SV40 Large T (LT) and small t (ST) oncoproteins, and an activated allele of H-RAS (H-RASV12) render a wide range of human cells tumorigenic ( Zhao et al., 2004). These models have facilitated the identification of candidate oncogenes and tumor suppressor genes ( Rowland et al., 2005 and Westbrook et al., 2005) | Reference Offset: ['4689-5267', '5446-6352'] | Reference Text:  We have utilized such an RNAi-based, forward genetic approach to identify genes that suppress oncogenic transformation in a defined human mammary epithelial cell model. We identified approximately 25 potential suppressors of epithelial cell transformation (SECT) genes that represent candidate tumor suppressors. Several are associated with known cancer-relevant pathways including Ras, PI(3)K, and TGF-β signaling. In addition, we provide evidence that one of these candidates, the transcriptional repressor REST/NRSF, plays a previously unappreciated role in tumor suppression ... Recently, several cell culture models of human cell transformation have been described in which primary human cells are engineered to express combinations of dominantly acting cellular and viral oncogenes and subsequently measured for anchorage-independent proliferation, an in vitro hallmark of transformation (Elenbaas et al., 2001, Hahn et al., 1999 and Zhao et al., 2004). We sought to identify short-hairpin RNAs (shRNAs) that cooperate within the context of such a model. As >80% of cancers arise from epithelial tissues, we chose to examine cells derived from human mammary epithelial cells (HMECs) to increase the probability of finding genes with relevance to epithelial cancers. The cells utilized for this screen (referred to as TLM-HMECs) were created by sequentially introducing the human telomerase catalytic subunit (hTERT) and the large T-antigen (LT) of SV40 into HMECs (Zhao et al., 2003) | Discourse Facet:  Discussion_Citation | Annotator:  E, |

Topic ID: D1402_TRAIN | Citance Number: 3 | Reference Article: Westbrook.txt | Citing Article: Boehm.txt | Citation Marker Offset: 44685-44707 | Citation Marker:  Westbrook et al., 2005 | Citation Offset:  44479-44708 | Citation Text:  The development of genome-scale libraries of RNAi reagents has facilitated loss-of-function approaches in mammalian cells that have identified candidate tumor-suppressor genes (Kolfschoten et al., 2005 and Westbrook et al., 2005) | Reference Offset: ['4466-4856'] | Reference Text:  The emergence of RNA interference (RNAi) as a mechanism to silence gene expression has enabled loss-of-function analysis in mammalian cells in a potentially genomewide manner (Berns et al., 2004 and Paddison et al., 2004). We have utilized such an RNAi-based, forward genetic approach to identify genes that suppress oncogenic transformation in a defined human mammary epithelial cell model | Discourse Facet:  Method_Citation | Annotator:  E, |

Topic ID: D1402_TRAIN | Citance Number: 4 | Reference Article: Westbrook.txt | Citing Article: Bric.txt | Citation Marker Offset: 2669-2691 | Citation Marker:  Westbrook et al., 2005 | Citation Offset:  2239-2692 | Citation Text:  RNA interference facilitates loss-of-function genetics in mammalian cells and has been used to explore various aspects of cancer biology, including the function of tumor suppressor genes. Moreover, the availability of genome-wide libraries of shRNAs capable of stably repressing gene expression has enabled genetic screens for determinants of oncogenic transformation as well as potential therapeutic targets (Berns et al., 2007; Westbrook et al., 2005) | Reference Offset: ['4466-5000', '9454-9660', '33641-33944'] | Reference Text:  The emergence of RNA interference (RNAi) as a mechanism to silence gene expression has enabled loss-of-function analysis in mammalian cells in a potentially genomewide manner (Berns et al., 2004 and Paddison et al., 2004). We have utilized such an RNAi-based, forward genetic approach to identify genes that suppress oncogenic transformation in a defined human mammary epithelial cell model. We identified approximately 25 potential suppressors of epithelial cell transformation (SECT) genes that represent candidate tumor suppressors ... To identify endogenous suppressors of epithelial cell transformation (SECT) genes (Figure 1C), we infected TLM-HMECs with a retroviral shRNA library we previously constructed in pSM1 (Paddison et al., 2004) ... In this study, we applied an shRNA-based genetic approach to identify genes suppressing oncogenic transformation of human epithelial cells. Within the context of this model, we have identified two previously established tumor suppressor genes (PTEN and TGFBR2) that actively restrain HMEC transformation | Discourse Facet:  Method_Citation | Annotator:  E, |

Topic ID: D1402_TRAIN | Citance Number: 5 | Reference Article: Westbrook.txt | Citing Article: Campbell.txt | Citation Marker Offset: 16362-16364 | Citation Marker:  32 | Citation Offset:  16289-16386 | Citation Text:  Ironically, Rest has recently been described as both a tumor suppressor [32] and an oncogene [33] | Reference Offset: ['4858-5267', '35188-35498'] | Reference Text:  We identified approximately 25 potential suppressors of epithelial cell transformation (SECT) genes that represent candidate tumor suppressors. Several are associated with known cancer-relevant pathways including Ras, PI(3)K, and TGF-β signaling. In addition, we provide evidence that one of these candidates, the transcriptional repressor REST/NRSF, plays a previously unappreciated role in tumor suppression ... Transcription factors often coordinately control complex programs of gene expression during development and as such are logical candidates underlying the aberrant activation of developmental programs in cancer. Here, we present several lines of evidence that REST may play a role in tumor suppression in humans | Discourse Facet:  Discussion_Citation | Annotator:  E, |

Topic ID: D1402_TRAIN | Citance Number: 6 | Reference Article: Westbrook.txt | Citing Article: Chen,Miller.txt | Citation Marker Offset: 35713-35715 | Citation Marker:  43 | Citation Offset:  35297-35883 | Citation Text:  In accordance, we found that numerous REST splice variants produced by E2/E3 skipping and alternative usage of the first and last exons, which are predictive of altered REST activity, are generally but differentially linked to different types of cancer. Particularly, in accordance with the involvement of REST4 and another C-terminal truncated REST-FS (caused by a frameshift mutation) in tumorigenesis [26]–[28], [43], we found that the usage of E5 as the last exon, which is predictive of a C-terminal truncated REST4-like protein, is differentially linked to various types of cancer | Reference Offset: ['28485-29484'] | Reference Text:  However, we hypothesized if expression of REST-FS was important to the genesis of this cancer, the mutant allele should exhibit dominant-negative activity. REST-FS lacks the C-terminal repressor domain that interacts with CoREST, a corepressor molecule that mediates transcriptional repression and silencing by REST (Andres et al., 1999). To determine if REST-FS displays properties of a dominant-negative protein, we transduced the HMEC derivative (TLM cells) used in our initial screen with wild-type or mutant REST and assessed anchorage-independent proliferation. Cells expressing REST-FS but not wild-type REST exhibited robust colony formation (Figure 4E, bottom panel). The ability of REST-FS to phenocopy the transforming activity of REST shRNAs strongly suggests that this mutant interferes with the functions of endogenous REST that restrain epithelial cell transformation. Taken together, these data provide strong support for the hypothesis that REST is a tumor suppressor in human cells | Discourse Facet:  Hypothesis_Citation | Annotator:  E, |
