Topic ID: D1403_TRAIN | Citance Number: 1 | Reference Article: Serrano.txt | Citing Article: Anand.txt | Citation Marker Offset: 38063-38083 | Citation Marker:  Serrano et al., 1997 | Citation Offset:  37985-38084 | Citation Text:  Relative cell growth in plated cultures was measured as previously described (Serrano et al., 1997) | Reference Offset:  ['8611-8900', '37430-38088'] | Reference Text:  The proliferative properties of such cell populations were monitored by growth curves and by BrdU-labeling, followed by flow cytometry. Cells transduced with H-ras V12 or with empty vector were plated at low density and cell numbers were counted ( Figure 2B; data not shown for WI38 cells) ... Twenty-five thousand cells per well were plated into 12-well plates. At the indicated times, cells were washed with PBS, fixed in 10% formalin, and rinsed with distilled water. Cells were stained with 0.1% crystal violet (Sigma) for 30 min, rinsed extensively, and dried. Cell-associated dye was extracted with 2.0 ml 10% acetic acid. Aliquots were diluted 1:4 with H2O, transferred to 96-well microtiter plates, and the optical density at 590 nm was determined. Values were normalized to the optical density at day 0 for the appropriate cell type. Within an experiment, each point was determined in triplicate; each growth curve was performed at least twice | Discourse Facet:  Method_Citation | Annotator:  B, |

Topic ID: D1403_TRAIN | Citance Number: 2 | Reference Article: Serrano.txt | Citing Article: Balaban.txt | Citation Marker Offset: 25362-25382 | Citation Marker:  Serrano et al., 1997 | Citation Offset:  25263-25383 | Citation Text:  expression of an activated form of Ras proteins can induce senescence in some primary fibroblasts (Serrano et al., 1997) | Reference Offset:  ['12197-13157', '15677-15795', '28219-28338'] | Reference Text:  The features of H-ras V12-arrested cells described above are remarkably similar to cells that have surpassed their proliferative capacity and become senescent ( Hayflick and Moorhead 1961). For example, senescent cells adopt a flat enlarged morphology and cease proliferation at subconfluent densities despite the presence of serum (reviewed by 63 and 69). Also, senescent cells arrest with a G1 DNA content, and express increased levels and/or activity of p53, p21, and p16 ( 49, 3, 2, 20 and 52). To exlore further the potential relationship between ras-induced arrest and senescence, we examined three additional senescence-associated markers: lack of serum-dependent induction of c-fos ( Seshadri and Campisi 1990), overexpression of the plasminogen activator inhibitor type-1 (PAI-1) gene ( 19 and 47), and detection of a senescence-associated β-galactosidase (SA-β-gal) optimally active at a pH of 6.0 ( Dimri et al. 1995; see also Reznikoff et al. 1996) ... Thus, the cell-cycle arrest induced by oncogenic ras was identical to replicative senescence by every criterion tested ... The cell-cycle arrest induced by oncogenic ras is phenotypically similar, and perhaps identical, to cellular senescence | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1403_TRAIN | Citance Number: 3 | Reference Article: Serrano.txt | Citing Article: Caron.txt | Citation Marker Offset: 32230-32232 | Citation Marker:  25 | Citation Offset:  32074-32233 | Citation Text:  The concept of induction of senescence rather than apoptosis of cancer cells as an approach to control cancer was first proposed by Serrano et al. in 1997 [25] | Reference Offset:  ['28791-29147', '33090-33495'] | Reference Text:  Under normal culture conditions, induction of senescence depends solely on the accumulated number of cell doublings. However, a phenotype suggestive of premature senescence can be induced following exposure of cell cultures to DNA-demethylating drugs (28 and 15), ceramide (Venable et al. 1995), or inhibitors of histone deacetylation (Ogryzko et al. 1996) ... We demonstrate that oncogenic ras provokes premature senescence in primary rodent and human cells in association with the induction of p53 and p16. We propose that premature induction of senescence in response to abnormal mitogenic signaling is a mechanism of tumor suppression. Inactivation of this antiproliferative response allows proliferation to continue unabated in the presence of oncogenic stimuli | Discourse Facet:  Discussion_Citation | Annotator:  B, |

Topic ID: D1403_TRAIN | Citance Number: 4 | Reference Article: Serrano.txt | Citing Article: Chicas.txt | Citation Marker Offset: 38677-38697 | Citation Marker:  Serrano et al., 1997 | Citation Offset:  38596-38698 | Citation Text:  The following retroviral vectors were used in this study: pWZL-Hygro (H-rasV12) (Serrano et al., 1997) | Reference Offset:  ['33721-34352'] | Reference Text:  The following plasmids were used for generating retroviruses: pBabe (Morgenstern and Land 1990); pLPC (coexpresses the gene of interest from an internal CMV promoter with a puromycin resistance gene driven by the LTR); and pWZL (coexpresses the gene of interest with a selectable marker translated from an internal ribosomal entry site) (a gift of J. Morgenstern). Oncogenic ras was transduced using a pBabe-Puro-based vector expressing a human H-ras V12 cDNA (pBabe-ras), although transduction of H-ras V12 using pLPC, pWZL-Hygro, or pWZL-CD8 (pWZL8ras coexpressing a CD8 cell-surface marker) gave similar results (data not shown) | Discourse Facet:  Method_Citation | Annotator:  B, |

Topic ID: D1403_TRAIN | Citance Number: 5 | Reference Article: Serrano.txt | Citing Article: Danovi.txt | Citation Marker Offset: 9262-9264 | Citation Marker:  18 | Citation Offset:  9011-9265 | Citation Text:  Oncogenic Ras is transforming in the presence of additional genetic changes. When expressed alone in primary cells however, oncogenic Ras induces premature senescence, a putative tumour suppressor mechanism to protect from uncontrolled proliferation [18] | Reference Offset:  ['12197-13157', '15677-15795', '28219-28338'] | Reference Text:  The features of H-ras V12-arrested cells described above are remarkably similar to cells that have surpassed their proliferative capacity and become senescent ( Hayflick and Moorhead 1961). For example, senescent cells adopt a flat enlarged morphology and cease proliferation at subconfluent densities despite the presence of serum (reviewed by 63 and 69). Also, senescent cells arrest with a G1 DNA content, and express increased levels and/or activity of p53, p21, and p16 ( 49, 3, 2, 20 and 52). To exlore further the potential relationship between ras-induced arrest and senescence, we examined three additional senescence-associated markers: lack of serum-dependent induction of c-fos ( Seshadri and Campisi 1990), overexpression of the plasminogen activator inhibitor type-1 (PAI-1) gene ( 19 and 47), and detection of a senescence-associated β-galactosidase (SA-β-gal) optimally active at a pH of 6.0 ( Dimri et al. 1995; see also Reznikoff et al. 1996) ... Thus, the cell-cycle arrest induced by oncogenic ras was identical to replicative senescence by every criterion tested ... The cell-cycle arrest induced by oncogenic ras is phenotypically similar, and perhaps identical, to cellular senescence | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1403_TRAIN | Citance Number: 6 | Reference Article: Serrano.txt | Citing Article: Drayton.txt | Citation Marker Offset: 2289-2308 | Citation Marker:  Serrano et al. 1997 | Citation Offset:  2123-2308 | Citation Text:  whereas activated Ras will transform established lines, such as NIH3T3 cells, it causes a senescence-like growth arrest in primary cells Newbold and Overell 1983 and Serrano et al. 1997 | Reference Offset:  ['12197-13157', '15683-15795', '28219-28338'] | Reference Text:  The features of H-ras V12-arrested cells described above are remarkably similar to cells that have surpassed their proliferative capacity and become senescent ( Hayflick and Moorhead 1961). For example, senescent cells adopt a flat enlarged morphology and cease proliferation at subconfluent densities despite the presence of serum (reviewed by 63 and 69). Also, senescent cells arrest with a G1 DNA content, and express increased levels and/or activity of p53, p21, and p16 ( 49, 3, 2, 20 and 52). To exlore further the potential relationship between ras-induced arrest and senescence, we examined three additional senescence-associated markers: lack of serum-dependent induction of c-fos ( Seshadri and Campisi 1990), overexpression of the plasminogen activator inhibitor type-1 (PAI-1) gene ( 19 and 47), and detection of a senescence-associated β-galactosidase (SA-β-gal) optimally active at a pH of 6.0 ( Dimri et al. 1995; see also Reznikoff et al. 1996) ... the cell-cycle arrest induced by oncogenic ras was identical to replicative senescence by every criterion tested ... The cell-cycle arrest induced by oncogenic ras is phenotypically similar, and perhaps identical, to cellular senescence | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1403_TRAIN | Citance Number: 7 | Reference Article: Serrano.txt | Citing Article: Drayton.txt | Citation Marker Offset: 3171-3190 | Citation Marker:  Serrano et al. 1997 | Citation Offset:  2860-3190 | Citation Text:  As p16INK4a blocks the inactivation of pRb by cyclin-dependent kinases, and Arf blocks the inactivation of p53 by Mdm2-mediated proteolysis, both have the capacity to cause cell cycle arrest. Interestingly, although both are upregulated by Ras in primary mouse embryo fibroblasts (MEFs) Palmero et al. 1998 and Serrano et al. 1997 | Reference Offset:  ['10564-10753', '24964-25179'] | Reference Text:  oncogenic ras also increased p16 levels. On average, p53, p21, and p16 increases ranged between 10- and 20-fold, compared to control cells and relative to the total cellular protein content ... We show that ras provokes a permanent cell-cycle arrest in primary fibroblasts of rodent and human origin. The arrest occurs at G1 and in association with a significant increase in the abundance of p53, p21, and p16 | Discourse Facet:  Results_Citation | Annotator:  B, |

