Topic ID: D1403_TRAIN | Citance Number: 1 | Reference Article: Serrano.txt | Citing Article: Anand.txt | Citation Marker Offset: 38063-38083 | Citation Marker:  Serrano et al., 1997 | Citation Offset:  37985-38084 | Citation Text:  Relative cell growth in plated cultures was measured as previously described (Serrano et al., 1997) | Reference Offset:  ['8611-8900', '37607-37977'] | Reference Text:  The proliferative properties of such cell populations were monitored by growth curves and by BrdU-labeling, followed by flow cytometry. Cells transduced with H-ras V12 or with empty vector were plated at low density and cell numbers were counted ( Figure 2B; data not shown for WI38 cells) ... Cells were stained with 0.1% crystal violet (Sigma) for 30 min, rinsed extensively, and dried. Cell-associated dye was extracted with 2.0 ml 10% acetic acid. Aliquots were diluted 1:4 with H2O, transferred to 96-well microtiter plates, and the optical density at 590 nm was determined. Values were normalized to the optical density at day 0 for the appropriate cell type | Discourse Facet:  Method_Citation | Annotator:  C, |

Topic ID: D1403_TRAIN | Citance Number: 2 | Reference Article: Serrano.txt | Citing Article: Balaban.txt | Citation Marker Offset: 25362-25382 | Citation Marker:  Serrano et al., 1997 | Citation Offset:  25241-25481 | Citation Text:  In a similar fashion, expression of an activated form of Ras proteins can induce senescence in some primary fibroblasts (Serrano et al., 1997). This Ras-induced senescence is also accompanied by p53 induction as well as a rise in ROS levels | Reference Offset:  ['683-820', '23909-24220', '26656-26967'] | Reference Text:  The arrest induced by ras is accompanied by accumulation of p53 and p16, and is phenotypically indistinguishable from cellular senescence ... These results indicate that overexpression of PAI-1 and the presence of SA-?-gal activity are not direct consequences of oncogenic ras, but rather are associated with the arrested state induced by ras. In this regard, our observations further strengthen the association of these markers with cellular senescence ... Several observations indicate that ras-induced arrest is not an immediate outcome of Ras signaling, but rather a cellular response to aberrant Ras activity. The immediate effect of Ras in primary cells is mitogenic, as indicated by microinjection studies in primary human and rodent fibroblasts ( 42, 64 and 59) | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1403_TRAIN | Citance Number: 3 | Reference Article: Serrano.txt | Citing Article: Caron.txt | Citation Marker Offset: 32230-32232 | Citation Marker:  25 | Citation Offset:  32074-32233 | Citation Text:  The concept of induction of senescence rather than apoptosis of cancer cells as an approach to control cancer was first proposed by Serrano et al. in 1997 [25] | Reference Offset:  ['951-1228', '33238-33495'] | Reference Text:  These observations suggest that the onset of cellular senescence does not simply reflect the accumulation of cell divisions, but can be prematurely activated in response to an oncogenic stimulus. Negation of ras-induced senescence may be relevant during multistep tumorigenesis ... We propose that premature induction of senescence in response to abnormal mitogenic signaling is a mechanism of tumor suppression. Inactivation of this antiproliferative response allows proliferation to continue unabated in the presence of oncogenic stimuli | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1403_TRAIN | Citance Number: 4 | Reference Article: Serrano.txt | Citing Article: Chicas.txt | Citation Marker Offset: 38677-38697 | Citation Marker:  Serrano et al., 1997 | Citation Offset:  38596-38749 | Citation Text:  The following retroviral vectors were used in this study: pWZL-Hygro (H-rasV12) (Serrano et al., 1997), pWZL-Blasticidin (H-rasV12) (Narita et al., 2006) | Reference Offset:  ['34086-34572'] | Reference Text:  Oncogenic ras was transduced using a pBabe-Puro-based vector expressing a human H-ras V12 cDNA (pBabe-ras), although transduction of H-ras V12 using pLPC, pWZL-Hygro, or pWZL-CD8 (pWZL8ras coexpressing a CD8 cell-surface marker) gave similar results (data not shown). pWZL-Hygro derivatives were used to generate retroviruses expressing the following proteins: an adenovirus-5 12S cDNA (pWZL12S); a human p53175H mutant (pWZLp53.175); and the p16-insensitive CDK4 R24C mutant (pWZLR24C) | Discourse Facet:  Method_Citation | Annotator:  C, |

Topic ID: D1403_TRAIN | Citance Number: 5 | Reference Article: Serrano.txt | Citing Article: Danovi.txt | Citation Marker Offset: 9262-9264 | Citation Marker:  18 | Citation Offset:  9088-9265 | Citation Text:  When expressed alone in primary cells however, oncogenic Ras induces premature senescence, a putative tumour suppressor mechanism to protect from uncontrolled proliferation [18] | Reference Offset:  ['570-820', '33090-33236', '33369-33495'] | Reference Text:  Here we show that expression of oncogenic ras in primary human or rodent cells results in a permanent G1 arrest. The arrest induced by ras is accompanied by accumulation of p53 and p16, and is phenotypically indistinguishable from cellular senescence ... We demonstrate that oncogenic ras provokes premature senescence in primary rodent and human cells in association with the induction of p53 and p16 ... Inactivation of this antiproliferative response allows proliferation to continue unabated in the presence of oncogenic stimuli | Discourse Facet:  Results_Citation | Annotator:  C, |

Topic ID: D1403_TRAIN | Citance Number: 6 | Reference Article: Serrano.txt | Citing Article: Drayton.txt | Citation Marker Offset: 2289-2308 | Citation Marker:  Serrano et al. 1997 | Citation Offset:  2117-2308 | Citation Text:  Thus, whereas activated Ras will transform established lines, such as NIH3T3 cells, it causes a senescence-like growth arrest in primary cells Newbold and Overell 1983 and Serrano et al. 1997 | Reference Offset:  ['570-820', '27650-27823', '33090-33236'] | Reference Text:  Here we show that expression of oncogenic ras in primary human or rodent cells results in a permanent G1 arrest. The arrest induced by ras is accompanied by accumulation of p53 and p16, and is phenotypically indistinguishable from cellular senescence ... Oncogenic ras also induces proliferative arrest and differentiation in two rodent cell lines, rat pheochromocytoma PC12 cells and mouse NIH-3T3-L1 fibroblasts ( 4, 7 and 43) ... We demonstrate that oncogenic ras provokes premature senescence in primary rodent and human cells in association with the induction of p53 and p16 | Discourse Facet:  Results_Citation | Annotator:  C, |

