Topic ID: D1403_TRAIN | Citance Number: 1 | Reference Article: Serrano.txt | Citing Article: Anand.txt | Citation Marker Offset: 38063-38083 | Citation Marker:  Serrano et al., 1997 | Citation Offset:  37985-38084 | Citation Text:  Relative cell growth in plated cultures was measured as previously described (Serrano et al., 1997) | Reference Offset: ['8611-8900', '38852-39263'] | Reference Text:  The proliferative properties of such cell populations were monitored by growth curves and by BrdU-labeling, followed by flow cytometry. Cells transduced with H-ras V12 or with empty vector were plated at low density and cell numbers were counted ( Figure 2B; data not shown for WI38 cells) ... Positive nuclei were visualized using the Amersham cell proliferation kit, except that BrdU was detected with an FITC-conjugated secondary antibody (CalBiochem). Cells were counterstained with DAPI to identify all nuclei, and the percentage of BrdU-labeled cells (FITC/DAPI) was quantified using a fluorescence microscope. At least 200 cells were counted per sample; each experiment was performed at least twice | Discourse Facet:  Method_Citation | Annotator:  D, |

Topic ID: D1403_TRAIN | Citance Number: 2 | Reference Article: Serrano.txt | Citing Article: Balaban.txt | Citation Marker Offset: 25362-25382 | Citation Marker:  Serrano et al., 1997 | Citation Offset:  25241-25383 | Citation Text:  In a similar fashion, expression of an activated form of Ras proteins can induce senescence in some primary fibroblasts (Serrano et al., 1997) | Reference Offset: ['28219-28338', '33090-33236', '24964-25069'] | Reference Text:  We show that ras provokes a permanent cell-cycle arrest in primary fibroblasts of rodent and human origin ... The cell-cycle arrest induced by oncogenic ras is phenotypically similar, and perhaps identical, to cellular senescence ... We demonstrate that oncogenic ras provokes premature senescence in primary rodent and human cells in association with the induction of p53 and p16 | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1403_TRAIN | Citance Number: 3 | Reference Article: Serrano.txt | Citing Article: Caron.txt | Citation Marker Offset: 32230-32232 | Citation Marker:  25 | Citation Offset:  32074-32233 | Citation Text:  The concept of induction of senescence rather than apoptosis of cancer cells as an approach to control cancer was first proposed by Serrano et al. in 1997 [25] | Reference Offset: ['5321-5500', '33238-33367'] | Reference Text:  We suggest that premature senescence is a mechanism of tumor suppression that can explain several aspects of ras transformation and may be an important safeguard against neoplasia ... We propose that premature induction of senescence in response to abnormal mitogenic signaling is a mechanism of tumor suppression | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1403_TRAIN | Citance Number: 4 | Reference Article: Serrano.txt | Citing Article: Chicas.txt | Citation Marker Offset: 38677-38697 | Citation Marker:  Serrano et al., 1997 | Citation Offset:  38596-38749 | Citation Text:  The following retroviral vectors were used in this study: pWZL-Hygro (H-rasV12) (Serrano et al., 1997), pWZL-Blasticidin (H-rasV12) (Narita et al., 2006) | Reference Offset: ['6005-6165', '33721-34352'] | Reference Text:  An activated ras allele (H-ras V12) was introduced into these cells using recombinant replication-deficient retroviruses as described in Experimental Procedures ... The following plasmids were used for generating retroviruses: pBabe (Morgenstern and Land 1990); pLPC (coexpresses the gene of interest from an internal CMV promoter with a puromycin resistance gene driven by the LTR); and pWZL (coexpresses the gene of interest with a selectable marker translated from an internal ribosomal entry site) (a gift of J. Morgenstern). Oncogenic ras was transduced using a pBabe-Puro-based vector expressing a human H-ras V12 cDNA (pBabe-ras), although transduction of H-ras V12 using pLPC, pWZL-Hygro, or pWZL-CD8 (pWZL8ras coexpressing a CD8 cell-surface marker) gave similar results (data not shown) | Discourse Facet:  Method_Citation | Annotator:  D, |

Topic ID: D1403_TRAIN | Citance Number: 5 | Reference Article: Serrano.txt | Citing Article: Danovi.txt | Citation Marker Offset: 9262-9264 | Citation Marker:  18 | Citation Offset:  9011-9265 | Citation Text:  Oncogenic Ras is transforming in the presence of additional genetic changes. When expressed alone in primary cells however, oncogenic Ras induces premature senescence, a putative tumour suppressor mechanism to protect from uncontrolled proliferation [18] | Reference Offset: ['28219-28338', '33090-33236', '24964-25069'] | Reference Text:  We show that ras provokes a permanent cell-cycle arrest in primary fibroblasts of rodent and human origin ... The cell-cycle arrest induced by oncogenic ras is phenotypically similar, and perhaps identical, to cellular senescence ... We demonstrate that oncogenic ras provokes premature senescence in primary rodent and human cells in association with the induction of p53 and p16 | Discourse Facet:  Hypothesis_Citation | Annotator:  D, |

Topic ID: D1403_TRAIN | Citance Number: 6 | Reference Article: Serrano.txt | Citing Article: Drayton.txt | Citation Marker Offset: 2289-2308 | Citation Marker:  Serrano et al. 1997 | Citation Offset:  2117-2308 | Citation Text:  Thus, whereas activated Ras will transform established lines, such as NIH3T3 cells, it causes a senescence-like growth arrest in primary cells Newbold and Overell 1983 and Serrano et al. 1997 | Reference Offset: ['24964-25069', '32515-32744', '33090-33236'] | Reference Text:  We show that ras provokes a permanent cell-cycle arrest in primary fibroblasts of rodent and human origin ... Yet, despite this intrinsic variability, the individual cell responses are remarkably uniform: the vast majority of cells arrest upon transduction of ras, and the arrest program is conserved between fibroblasts from three species ... We demonstrate that oncogenic ras provokes premature senescence in primary rodent and human cells in association with the induction of p53 and p16 | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1403_TRAIN | Citance Number: 7 | Reference Article: Serrano.txt | Citing Article: Drayton.txt | Citation Marker Offset: 3171-3190 | Citation Marker:  Serrano et al. 1997 | Citation Offset:  2860-3272 | Citation Text:  As p16INK4a blocks the inactivation of pRb by cyclin-dependent kinases, and Arf blocks the inactivation of p53 by Mdm2-mediated proteolysis, both have the capacity to cause cell cycle arrest. Interestingly, although both are upregulated by Ras in primary mouse embryo fibroblasts (MEFs) Palmero et al. 1998 and Serrano et al. 1997, it is clear that p19ARF is the critical determinant of the ensuing growth arrest | Reference Offset: ['10551-10753', '11984-12174', '33090-33236'] | Reference Text:  Furthermore, oncogenic ras also increased p16 levels. On average, p53, p21, and p16 increases ranged between 10- and 20-fold, compared to control cells and relative to the total cellular protein content ... Consequently, the G1 arrest induced by oncogenic ras is different from quiescence and is specifically characterized by the simultaneous induction of the p53 and p16 tumor suppressor proteins ... We demonstrate that oncogenic ras provokes premature senescence in primary rodent and human cells in association with the induction of p53 and p16 | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1403_TRAIN | Citance Number: 8 | Reference Article: Serrano.txt | Citing Article: Drayton.txt | Citation Marker Offset: 5354-5373 | Citation Marker:  Serrano et al. 1997 | Citation Offset:  4999-5373 | Citation Text:  The general impression that has emerged is that transformation of human cells by Ras requires the inactivation of both the pRb and p53 pathways, typically achieved by introducing DNA tumor virus oncoproteins such as SV40 large tumor antigen (T-Ag) or human papillomavirus E6 and E7 proteins Elenbaas et al. 2001, Hahn et al. 1999, Morales et al. 1999 and Serrano et al. 1997 | Reference Offset: ['1993-2139', '16527-16720', '30448-30594'] | Reference Text:  Several viral oncoproteins also cooperate with ras, including SV40 T-antigen, adenovirus E1A, human papillomavirus E7, and HTLV-1 Tax ( 70 and 57) ... These results indicate that E1A efficiently negates the cell-cycle arrest induced by oncogenic ras, and are consistent with the observation that E1A cooperates with ras in transformation assays ... We propose that the cell-cycle activation associated with disruption of p53 or the p16/Rb pathway is necessary for transformation by oncogenic ras | Discourse Facet:  Hypothesis_Citation | Annotator:  D, |

Topic ID: D1403_TRAIN | Citance Number: 9 | Reference Article: Serrano.txt | Citing Article: Drayton.txt | Citation Marker Offset: 7739-7758 | Citation Marker:  Serrano et al. 1997 | Citation Offset:  7596-7778 | Citation Text:  In contrast, control Hs68 fibroblasts underwent a senescence-like arrest in response to Ras as predicted by other studies Morales et al. 1999, Serrano et al. 1997 and Wei et al. 1999 | Reference Offset: ['24964-25069', '32515-32744', '33090-33236'] | Reference Text:  We show that ras provokes a permanent cell-cycle arrest in primary fibroblasts of rodent and human origin ... Yet, despite this intrinsic variability, the individual cell responses are remarkably uniform: the vast majority of cells arrest upon transduction of ras, and the arrest program is conserved between fibroblasts from three species ... We demonstrate that oncogenic ras provokes premature senescence in primary rodent and human cells in association with the induction of p53 and p16 | Discourse Facet:  Results_Citation | Annotator:  D, |

Topic ID: D1403_TRAIN | Citance Number: 10 | Reference Article: Serrano.txt | Citing Article: Hanahan.txt | Citation Marker Offset: 37740-37759 | Citation Marker:  Serrano et al. 1997 | Citation Offset:  37562-37760 | Citation Text:  More recently, the senescent state has been observed to be inducible in certain cultured cells in response to high level expression of genes such as the activated ras oncogene ( Serrano et al. 1997) | Reference Offset: ['24964-25175', '32515-32744', '33090-33236'] | Reference Text:  We show that ras provokes a permanent cell-cycle arrest in primary fibroblasts of rodent and human origin. The arrest occurs at G1 and in association with a significant increase in the abundance of p53, p21, and ... Yet, despite this intrinsic variability, the individual cell responses are remarkably uniform: the vast majority of cells arrest upon transduction of ras, and the arrest program is conserved between fibroblasts from three species ... We demonstrate that oncogenic ras provokes premature senescence in primary rodent and human cells in association with the induction of p53 and p16 | Discourse Facet:  Discussion_Citation | Annotator:  D, |

