Topic ID: D1403_TRAIN | Citance Number: 1 | Reference Article: Serrano.txt | Citing Article: Anand.txt | Citation Marker Offset: 38063-38083 | Citation Marker:  Serrano et al., 1997 | Citation Offset:  37985-38084 | Citation Text:  Relative cell growth in plated cultures was measured as previously described (Serrano et al., 1997) | Reference Offset:  ['8611-8900', '37430-38088'] | Reference Text:  The proliferative properties of such cell populations were monitored by growth curves and by BrdU-labeling, followed by flow cytometry. Cells transduced with H-ras V12 or with empty vector were plated at low density and cell numbers were counted ( Figure 2B; data not shown for WI38 cells) ... Twenty-five thousand cells per well were plated into 12-well plates. At the indicated times, cells were washed with PBS, fixed in 10% formalin, and rinsed with distilled water. Cells were stained with 0.1% crystal violet (Sigma) for 30 min, rinsed extensively, and dried. Cell-associated dye was extracted with 2.0 ml 10% acetic acid. Aliquots were diluted 1:4 with H2O, transferred to 96-well microtiter plates, and the optical density at 590 nm was determined. Values were normalized to the optical density at day 0 for the appropriate cell type. Within an experiment, each point was determined in triplicate; each growth curve was performed at least twice | Discourse Facet:  Method_Citation | Annotator:  E, |

Topic ID: D1403_TRAIN | Citance Number: 2 | Reference Article: Serrano.txt | Citing Article: Balaban.txt | Citation Marker Offset: 25362-25382 | Citation Marker:  Serrano et al., 1997 | Citation Offset:  25020-25481 | Citation Text:  Cellular induction of p53 can result in either apoptosis or senescence, and there is some evidence that the decision for what cell fate pathway is chosen may depend on the intracellular level of ROS (Macip et al., 2003). In a similar fashion, expression of an activated form of Ras proteins can induce senescence in some primary fibroblasts (Serrano et al., 1997). This Ras-induced senescence is also accompanied by p53 induction as well as a rise in ROS levels | Reference Offset:  ['1548-2139', '4638-5144'] | Reference Text:  Oncogenic ras efficiently transforms most immortal rodent cell lines but fails to transform primary cells ( Newbold and Overell 1983). ras cooperates, however, with certain other oncogenic alterations to transform primary rodent cells ( 35 and 56), including overexpression of c-Myc, dominant negative p53, D-type cyclins, and Cdc25A and -B, and loss of p53, p16, or IRF-1 (reviewed by 70 and 57; see also Hinds et al. 1994; 38, 66, 17 and 60). Several viral oncoproteins also cooperate with ras, including SV40 T-antigen, adenovirus E1A, human papillomavirus E7, and HTLV-1 Tax ( 70 and 57) ... Primary murine fibroblasts lacking either p53 or p16 are transformed by oncogenic ras alone ( 66 and 60) and are easily established into immortal cell lines ( 22, 45 and 60). In human cells, inactivation of p53 and/or p16 also facilitates the immortalization process ( Reznikoff et al. 1996; Rogan et al. 1996). Together, these observations suggest a role for p53 and p16 in cellular senescence and, consistent with this, p53, p21, and p16 levels and/or activity increase in senescent cells ( 2, 20 and 52) | Discourse Facet:  Discussion_Citation | Annotator:  E, |

Topic ID: D1403_TRAIN | Citance Number: 3 | Reference Article: Serrano.txt | Citing Article: Caron.txt | Citation Marker Offset: 32230-32232 | Citation Marker:  25 | Citation Offset:  32074-32233 | Citation Text:  The concept of induction of senescence rather than apoptosis of cancer cells as an approach to control cancer was first proposed by Serrano et al. in 1997 [25] | Reference Offset:  ['5146-5500', '33090-33675'] | Reference Text:  In this study, we demonstrate that prolonged expression of oncogenic ras induces a cell-cycle arrest involving p53 and p16 that is indistinguishable from cellular senescence. We suggest that premature senescence is a mechanism of tumor suppression that can explain several aspects of ras transformation and may be an important safeguard against neoplasia ... We demonstrate that oncogenic ras provokes premature senescence in primary rodent and human cells in association with the induction of p53 and p16. We propose that premature induction of senescence in response to abnormal mitogenic signaling is a mechanism of tumor suppression. Inactivation of this antiproliferative response allows proliferation to continue unabated in the presence of oncogenic stimuli. These observations could explain the apparent pressure to mutate genes involved in the establishment of oncogene-induced senescence, such as p53 and p16, during tumor progression | Discourse Facet:  Hypothesis_Citation | Annotator:  E, |

Topic ID: D1403_TRAIN | Citance Number: 4 | Reference Article: Serrano.txt | Citing Article: Chicas.txt | Citation Marker Offset: 38677-38697 | Citation Marker:  Serrano et al., 1997 | Citation Offset:  38596-38749 | Citation Text:  The following retroviral vectors were used in this study: pWZL-Hygro (H-rasV12) (Serrano et al., 1997), pWZL-Blasticidin (H-rasV12) (Narita et al., 2006) | Reference Offset:  ['34086-34572'] | Reference Text:  Oncogenic ras was transduced using a pBabe-Puro-based vector expressing a human H-ras V12 cDNA (pBabe-ras), although transduction of H-ras V12 using pLPC, pWZL-Hygro, or pWZL-CD8 (pWZL8ras coexpressing a CD8 cell-surface marker) gave similar results (data not shown). pWZL-Hygro derivatives were used to generate retroviruses expressing the following proteins: an adenovirus-5 12S cDNA (pWZL12S); a human p53175H mutant (pWZLp53.175); and the p16-insensitive CDK4 R24C mutant (pWZLR24C) | Discourse Facet:  Method_Citation | Annotator:  E, |

Topic ID: D1403_TRAIN | Citance Number: 5 | Reference Article: Serrano.txt | Citing Article: Danovi.txt | Citation Marker Offset: 9262-9264 | Citation Marker:  18 | Citation Offset:  9011-9265 | Citation Text:  Oncogenic Ras is transforming in the presence of additional genetic changes. When expressed alone in primary cells however, oncogenic Ras induces premature senescence, a putative tumour suppressor mechanism to protect from uncontrolled proliferation [18] | Reference Offset:  ['5146-5500', '33090-33495'] | Reference Text:  In this study, we demonstrate that prolonged expression of oncogenic ras induces a cell-cycle arrest involving p53 and p16 that is indistinguishable from cellular senescence. We suggest that premature senescence is a mechanism of tumor suppression that can explain several aspects of ras transformation and may be an important safeguard against neoplasia ... We demonstrate that oncogenic ras provokes premature senescence in primary rodent and human cells in association with the induction of p53 and p16. We propose that premature induction of senescence in response to abnormal mitogenic signaling is a mechanism of tumor suppression. Inactivation of this antiproliferative response allows proliferation to continue unabated in the presence of oncogenic stimuli | Discourse Facet:  Discussion_Citation | Annotator:  E, |

Topic ID: D1403_TRAIN | Citance Number: 6 | Reference Article: Serrano.txt | Citing Article: Drayton.txt | Citation Marker Offset: 2289-2308 | Citation Marker:  Serrano et al. 1997 | Citation Offset:  2117-2308 | Citation Text:  Thus, whereas activated Ras will transform established lines, such as NIH3T3 cells, it causes a senescence-like growth arrest in primary cells Newbold and Overell 1983 and Serrano et al. 1997 | Reference Offset:  ['27650-28180'] | Reference Text:  Oncogenic ras also induces proliferative arrest and differentiation in two rodent cell lines, rat pheochromocytoma PC12 cells and mouse NIH-3T3-L1 fibroblasts ( 4, 7 and 43). However, it is important to point out that microinjection of Ras into Schwann and PC12 cells immediately results in proliferative arrest or differentiation, respectively ( 4 and 53). This is in contrast to primary fibroblasts, where microinjection of Ras initially results in proliferation ( 42 and 64) and probably reflects cell–type specific differences | Discourse Facet:  Results_Citation | Annotator:  E, |
