Topic ID: D1404_TRAIN | Citance Number: 1 | Reference Article:  Agami,Bernards.txt | Citing Article:  Chen.txt | Citation Marker Offset:  3240-3241 | Citation Marker:  9 | Citation Offset:  3023-3242 | Citation Text:  A few studies have reported the control of APC/C by genotoxic stress in mammalian cells. Ionizing radiation was shown to activate the APC/C to degrade cyclin D1, which triggers an immediate p53-independent G1 arrest [9] | Reference Offset:  ['33197-33700', '39471-39779', '40759-41113'] | Reference Text:  Genotoxic stresses, such as IR, induce a fast and strong G1 arrest that is sustained over a prolonged period of time. We report here that this type of G1 arrest builds up in two different and mechanistically distinct phases: initiation and maintenance. The initial process is fast (accomplished in a period of less than 10 hr), strong (more than 15% increase in G1 in an asynchronous population), and is mediated by cyclin D1 degradation. p53 activity is dispensable for G1 arrest in this initial period ... We demonstrate here that cyclin D1 has a functional RxxL motif, also known as a destruction box, within its amino terminus. This destruction box does not play a role in the normal metabolic turn-over of cyclin D1 protein (Figure 4), but mediates rapid cyclin D1 degradation after exposure to genotoxic stress ... In support of this view is our finding that the cyclin D1/CDK4 complex specifically associates with the APC in cycling cells (Figure 5). Whereas the interaction of APC with CDK4 remains intact in cells exposed to IR, the interaction with cyclin D1 decreases rapidly. Therefore, it seems that CDK4 serves as a bridging factor between cyclin D1 and the APC | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1404_TRAIN | Citance Number: 2 | Reference Article:  Agami,Bernards.txt | Citing Article:  Kim.txt | Citation Marker Offset:  16659-16661 | Citation Marker:  31 | Citation Offset:  16362-16662 | Citation Text:  The observed inactivation of GSK3β by its hyperphosphorylation in the present study may result in the accumulation of unphosphorylated cyclin D1. Alternatively, the anaphase promoting complex (APC) is responsible for the rapid degradation of cyclin D1 in cells irradiated with ionizing radiation [31] | Reference Offset:  ['19714-20667'] | Reference Text:  Since cyclin D1 harbors a destruction box–like motif, we searched for an association of endogenous cyclin D1/CDK4 complexes with Cdc27, a conserved component of the APC (King et al. 1995). In nontransfected MCF-7 cells, we clearly and specifically detect both endogenous CDK4 and cyclin D1 proteins in Cdc27 immunoprecipitates (Figure 5A). Conversely, Cdc27 was present in cyclin D1 immunoprecipitates (Figure 5B). Moreover, Cdc27 was present in anti-CDK4 but not anti-CDK2 immunoprecipitates (Figure 5C). Significantly, the interaction between CDK4 and Cdc27 was not affected by IR (Figure 5C), whereas the amount of Cdc27 bound to cyclin D1 decreased, most likely due to degradation of cyclin D1 by IR (Figure 5B, compare upper and middle panels). These results suggest that the APC is constitutively associated with the cyclin D1/CDK4 complex and are consistent with a model in which the APC is responsible for cyclin D1 proteolysis in response to IR | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1404_TRAIN | Citance Number: 3 | Reference Article:  Agami,Bernards.txt | Citing Article:  Kim.txt | Citation Marker Offset:  16799-16801 | Citation Marker:  31 | Citation Offset:  16664-16947 | Citation Text:  APC-dependent degradation of cyclin D1 does not require threonine 286 phosphorylation, but the presence of a “cyclin degradation box” [31] and [32]. However, as observed in the present study, threonine 286 phosphorylation is essential for proteolytic degradation of cyclin D1 in skin | Reference Offset:  ['15076-15311', '17568-18200', '39471-39779'] | Reference Text:  Furthermore, a mutant of cyclin D1 in which the GSK3-β phosphorylation site was mutated (T286A), and is completely refractory to GSK3-β induced degradation (Diehl et al. 1998), was fully responsive to IR-induced degradation (Figure 4B) ... However, two independent point mutations within the putative destruction box of cyclin D1 (either R29Q or L32A) completely abolished degradation by IR ( Figure 4B). Combining each of these mutations in the destruction box with a mutation in the GSK3-β phosphorylation site ( Figure 4B, R29Q;T286A and L32A;T286A mutants) gave rise to a higher level of protein expression in nonirradiated cells that was fully resistant to the IR effect, in sharp contrast to the T286A single mutant ( Figure 4B). These data suggest that the RxxL destruction box in cyclin D1 is the major motif that renders cyclin D1 susceptible to degradation by IR ... We demonstrate here that cyclin D1 has a functional RxxL motif, also known as a destruction box, within its amino terminus. This destruction box does not play a role in the normal metabolic turn-over of cyclin D1 protein (Figure 4), but mediates rapid cyclin D1 degradation after exposure to genotoxic stress | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1404_TRAIN | Citance Number: 4 | Reference Article:  Agami,Bernards.txt | Citing Article:  Kim.txt | Citation Marker Offset:  17191-17193 | Citation Marker:  31 | Citation Offset:  16949-17209 | Citation Text:  Inactivation of one or more components of the cyclin D1–Rb pathway is observed in most tumors, suggesting that deregulation of surveillance check point mechanism(s) in this pathway likely contributes to uncontrolled cell proliferation [26], [31], [33] and [34] | Reference Offset:  ['2192-2365', '41448-41529'] | Reference Text:  Given the crucial part that D-type cyclins play in progression through the cell cycle, it is perhaps not surprising that their expression is frequently deregulated in cancer ... The p16INK4A-cyclin D1-pRb pathway is disrupted in most, if not all, human tumors | Discourse Facet:  Discussion_Citation | Annotator:  B, |

Topic ID: D1404_TRAIN | Citance Number: 5 | Reference Article:  Agami,Bernards.txt | Citing Article:  Kolfschoten.txt | Citation Marker Offset:  35979-36003 | Citation Marker:  Agami and Bernards, 2000 | Citation Offset:  35875-36004 | Citation Text:  T47D, MCF-7, Skbr3, HeLa, and Caco-2 cells were transfected by electroporation as described previously (Agami and Bernards, 2000) | Reference Offset:  ['22120-22351', '43727-44509'] | Reference Text:  In these experiments, we used electroporation because we reproducibly obtained greater than 90% transient transfection efficiencies (Figure 6A). This allowed us to perform experiments without selection of the transfected population ... Cells were transfected with either DOTAP (Boehringer Mannheim) or Lipofectamine (Gibco-BRL). To obtain high transfection efficiency, 3 × 105 MCF-7 cells were resuspended in 100 μl of electroporation buffer containing 2 mM HEPES (pH 7.2), 15 mM K2HPO4/KH2PO4, 250 mM manitol, and 1mM MgCl2 at a final pH of 7.2. Either 1 or 2 μg of DNA was added and the cells and DNA were transferred to a 0.1 cm electroporation cuvette (BioRad) and electroporated with Gene Pulser II apparatus and Gene Pulser II RF module (BioRad) at 140 volts, 15 times 1.5 ms burst duration and 1.5 s intervals. Five minutes after electroporation, cells were seeded in either a 10 cm dish or an equivalent area. Cells were washed 16 hr after transfection and the experiment was performed either 24 or 48 hr later | Discourse Facet:  Method_Citation | Annotator:  B, |

Topic ID: D1404_TRAIN | Citance Number: 6 | Reference Article:  Agami,Bernards.txt | Citing Article:  Krieger.txt | Citation Marker Offset:  14579-14581 | Citation Marker:  14 | Citation Offset:  14199-14582 | Citation Text:  Either the PEST sequence is not strictly necessary for proteolysis through the proteasome machinery which is peculiarly active in MCL [13] or cyclin D1 can be degraded through another motif. In the case of cell response to stress, cyclin D1 can be degraded through its binding to the anaphase-promoting complex and a RXXL sequence located in the NH2-terminal part of the protein [14] | Reference Offset:  ['17568-18200', '40611-41113'] | Reference Text:  However, two independent point mutations within the putative destruction box of cyclin D1 (either R29Q or L32A) completely abolished degradation by IR ( Figure 4B). Combining each of these mutations in the destruction box with a mutation in the GSK3-β phosphorylation site ( Figure 4B, R29Q;T286A and L32A;T286A mutants) gave rise to a higher level of protein expression in nonirradiated cells that was fully resistant to the IR effect, in sharp contrast to the T286A single mutant ( Figure 4B). These data suggest that the RxxL destruction box in cyclin D1 is the major motif that renders cyclin D1 susceptible to degradation by IR ... Our identification of the RxxL destruction motif as a necessary element for cyclin D1 degradation points to the involvement of APC in this process. In support of this view is our finding that the cyclin D1/CDK4 complex specifically associates with the APC in cycling cells (Figure 5). Whereas the interaction of APC with CDK4 remains intact in cells exposed to IR, the interaction with cyclin D1 decreases rapidly. Therefore, it seems that CDK4 serves as a bridging factor between cyclin D1 and the APC | Discourse Facet:  Results_Citation | Annotator:  B, |
