Topic ID: D1404_TRAIN | Citance Number: 1 | Reference Article:  Agami,Bernards.txt | Citing Article:  Chen.txt | Citation Marker Offset:  3240-3241 | Citation Marker:  9 | Citation Offset:  3112-3242 | Citation Text:  Ionizing radiation was shown to activate the APC/C to degrade cyclin D1, which triggers an immediate p53-independent G1 arrest [9] | Reference Offset:  ['484-599', '6484-6639', '20464-20667'] | Reference Text:  We show that DNA damage causes an immediate and p53-independent G1 arrest, caused by rapid proteolysis of cyclin D1 ... This result suggests that cells undergo an initial G1 arrest within 10 hr after exposure to IR and that this initial response does not require p53 activity ... These results suggest that the APC is constitutively associated with the cyclin D1/CDK4 complex and are consistent with a model in which the APC is responsible for cyclin D1 proteolysis in response to IR | Discourse Facet:  Results_Citation | Annotator:  C, |

Topic ID: D1404_TRAIN | Citance Number: 2 | Reference Article:  Agami,Bernards.txt | Citing Article:  Kim.txt | Citation Marker Offset:  16659-16661 | Citation Marker:  31 | Citation Offset:  16508-16662 | Citation Text:  Alternatively, the anaphase promoting complex (APC) is responsible for the rapid degradation of cyclin D1 in cells irradiated with ionizing radiation [31] | Reference Offset:  ['20464-20667', '39863-40035', '41026-41254'] | Reference Text:  These results suggest that the APC is constitutively associated with the cyclin D1/CDK4 complex and are consistent with a model in which the APC is responsible for cyclin D1 proteolysis in response to IR ... The Anaphase-Promoting Complex (APC), a multimeric ubiquitin ligase complex of 1.5 MDa, is essential for destruction box-mediated degradation of mitotic cyclins (11 and 15) ... Therefore, it seems that CDK4 serves as a bridging factor between cyclin D1 and the APC. This suggests a model in which the APC marks cyclin D1 for proteolysis and is subsequently free to bind another cyclin D1 molecule via CDK4 | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1404_TRAIN | Citance Number: 3 | Reference Article:  Agami,Bernards.txt | Citing Article:  Kim.txt | Citation Marker Offset:  16799-16801 | Citation Marker:  31 | Citation Offset:  16664-16811 | Citation Text:  APC-dependent degradation of cyclin D1 does not require threonine 286 phosphorylation, but the presence of a “cyclin degradation box” [31] and [32] | Reference Offset:  ['18064-18200', '37123-37347', '39863-40035'] | Reference Text:  These data suggest that the RxxL destruction box in cyclin D1 is the major motif that renders cyclin D1 susceptible to degradation by IR ... Whereas the mitogenic signals are mediated by phosphorylation of cyclin D1 at threonine 286, our data indicate that genotoxic stress requires a newly identified RxxL destruction box motif (amino acids 29–32) within cyclin D1 ... The Anaphase-Promoting Complex (APC), a multimeric ubiquitin ligase complex of 1.5 MDa, is essential for destruction box-mediated degradation of mitotic cyclins (11 and 15) | Discourse Facet:  Results_Citation | Annotator:  C, |

Topic ID: D1404_TRAIN | Citance Number: 4 | Reference Article:  Agami,Bernards.txt | Citing Article:  Kim.txt | Citation Marker Offset:  17191-17193 | Citation Marker:  31 | Citation Offset:  16949-17209 | Citation Text:  Inactivation of one or more components of the cyclin D1–Rb pathway is observed in most tumors, suggesting that deregulation of surveillance check point mechanism(s) in this pathway likely contributes to uncontrolled cell proliferation [26], [31], [33] and [34] | Reference Offset:  ['2192-2365', '41448-41649', '41970-42208'] | Reference Text:  Given the crucial part that D-type cyclins play in progression through the cell cycle, it is perhaps not surprising that their expression is frequently deregulated in cancer ... The p16INK4A-cyclin D1-pRb pathway is disrupted in most, if not all, human tumors. In a substantial number of tumors cyclin D1 is over-expressed by one of several mechanisms (Hanahan and Weinberg 2000) ... Our findings also have potential relevance for treatment of cancer. Abrogation of genotoxic stress-induced cyclin D1 degradation sensitizes cells to genotoxic stress with no significant effect on survival of nonirradiated cells (Figure 7) | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1404_TRAIN | Citance Number: 5 | Reference Article:  Agami,Bernards.txt | Citing Article:  Kolfschoten.txt | Citation Marker Offset:  35979-36003 | Citation Marker:  Agami and Bernards, 2000 | Citation Offset:  35875-36004 | Citation Text:  T47D, MCF-7, Skbr3, HeLa, and Caco-2 cells were transfected by electroporation as described previously (Agami and Bernards, 2000) | Reference Offset:  ['22460-22670', '24339-24558', '44038-44407'] | Reference Text:  (A) MCF-7 cells were transfected by electroporation with either vector or histone H2B-GFP expression construct. After 17 hr, cells were washed to clear dead cells and after an additional 48 hr, analyzed by FACS ... We electroporated MCF-7/E6 cells with wild-type or mutant cyclin D1 expression vectors and after 48 hr, cells were irradiated and treated with nocodazole, and 10 hr later the cell cycle distribution was analyzed by FACS ... Either 1 or 2 μg of DNA was added and the cells and DNA were transferred to a 0.1 cm electroporation cuvette (BioRad) and electroporated with Gene Pulser II apparatus and Gene Pulser II RF module (BioRad) at 140 volts, 15 times 1.5 ms burst duration and 1.5 s intervals. Five minutes after electroporation, cells were seeded in either a 10 cm dish or an equivalent area | Discourse Facet:  Method_Citation | Annotator:  C, |

Topic ID: D1404_TRAIN | Citance Number: 6 | Reference Article:  Agami,Bernards.txt | Citing Article:  Krieger.txt | Citation Marker Offset:  14579-14581 | Citation Marker:  14 | Citation Offset:  14390-14582 | Citation Text:  In the case of cell response to stress, cyclin D1 can be degraded through its binding to the anaphase-promoting complex and a RXXL sequence located in the NH2-terminal part of the protein [14] | Reference Offset:  ['17039-17387', '19253-19446', '40611-40757'] | Reference Text:  This requires three regions, including a destruction box at the amino terminus (RxxL motif), the amino terminal region of the cyclin box, and a PEST domain ( Cooper et al. 1997). Close inspection of the cyclin D1 protein sequence revealed that cyclin D1, but not cyclin D2 and D3, harbors a destruction box–like motif in its N terminus ( Figure 4C) ... This result demonstrates that the RxxL motif of cyclin D1 is necessary and, when placed in the context of a D-type cyclin, also sufficient to mediate degradation in response to genotoxic stress ... Our identification of the RxxL destruction motif as a necessary element for cyclin D1 degradation points to the involvement of APC in this process | Discourse Facet:  Results_Citation | Annotator:  C, |
