Topic ID: D1404_TRAIN | Citance Number: 1 | Reference Article:  Agami,Bernards.txt | Citing Article:  Chen.txt | Citation Marker Offset:  3240-3241 | Citation Marker:  9 | Citation Offset:  3023-3242 | Citation Text:  A few studies have reported the control of APC/C by genotoxic stress in mammalian cells. Ionizing radiation was shown to activate the APC/C to degrade cyclin D1, which triggers an immediate p53-independent G1 arrest [9] | Reference Offset:  ['20464-20667', '33197-33700'] | Reference Text:  These results suggest that the APC is constitutively associated with the cyclin D1/CDK4 complex and are consistent with a model in which the APC is responsible for cyclin D1 proteolysis in response to IR ... Genotoxic stresses, such as IR, induce a fast and strong G1 arrest that is sustained over a prolonged period of time. We report here that this type of G1 arrest builds up in two different and mechanistically distinct phases: initiation and maintenance. The initial process is fast (accomplished in a period of less than 10 hr), strong (more than 15% increase in G1 in an asynchronous population), and is mediated by cyclin D1 degradation. p53 activity is dispensable for G1 arrest in this initial period | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1404_TRAIN | Citance Number: 2 | Reference Article:  Agami,Bernards.txt | Citing Article:  Kim.txt | Citation Marker Offset:  16659-16661 | Citation Marker:  31 | Citation Offset:  16362-16662 | Citation Text:  The observed inactivation of GSK3β by its hyperphosphorylation in the present study may result in the accumulation of unphosphorylated cyclin D1. Alternatively, the anaphase promoting complex (APC) is responsible for the rapid degradation of cyclin D1 in cells irradiated with ionizing radiation [31] | Reference Offset:  ['20464-20667'] | Reference Text:  These results suggest that the APC is constitutively associated with the cyclin D1/CDK4 complex and are consistent with a model in which the APC is responsible for cyclin D1 proteolysis in response to IR | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1404_TRAIN | Citance Number: 3 | Reference Article:  Agami,Bernards.txt | Citing Article:  Kim.txt | Citation Marker Offset:  16799-16801 | Citation Marker:  31 | Citation Offset:  16664-16811 | Citation Text:  APC-dependent degradation of cyclin D1 does not require threonine 286 phosphorylation, but the presence of a “cyclin degradation box” [31] and [32] | Reference Offset:  ['39471-40035', '40611-40757'] | Reference Text:  We demonstrate here that cyclin D1 has a functional RxxL motif, also known as a destruction box, within its amino terminus. This destruction box does not play a role in the normal metabolic turn-over of cyclin D1 protein (Figure 4), but mediates rapid cyclin D1 degradation after exposure to genotoxic stress. Destruction boxes were first identified in mitotic cyclins (Glotzer et al. 1991). The Anaphase-Promoting Complex (APC), a multimeric ubiquitin ligase complex of 1.5 MDa, is essential for destruction box-mediated degradation of mitotic cyclins (11 and 15) ... Our identification of the RxxL destruction motif as a necessary element for cyclin D1 degradation points to the involvement of APC in this process | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1404_TRAIN | Citance Number: 4 | Reference Article:  Agami,Bernards.txt | Citing Article:  Kim.txt | Citation Marker Offset:  17191-17193 | Citation Marker:  31 | Citation Offset:  16949-17209 | Citation Text:  Inactivation of one or more components of the cyclin D1–Rb pathway is observed in most tumors, suggesting that deregulation of surveillance check point mechanism(s) in this pathway likely contributes to uncontrolled cell proliferation [26], [31], [33] and [34] | Reference Offset:  ['2192-2365', '32909-33123'] | Reference Text:  Given the crucial part that D-type cyclins play in progression through the cell cycle, it is perhaps not surprising that their expression is frequently deregulated in cancer ... Collectively, these data indicate that cyclin D1 degradation is an essential component of the cellular response to genotoxic stress, in the absence of which the cell's ability to deal with DNA damage is compromised | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1404_TRAIN | Citance Number: 5 | Reference Article:  Agami,Bernards.txt | Citing Article:  Kolfschoten.txt | Citation Marker Offset:  35979-36003 | Citation Marker:  Agami and Bernards, 2000 | Citation Offset:  35875-36004 | Citation Text:  T47D, MCF-7, Skbr3, HeLa, and Caco-2 cells were transfected by electroporation as described previously (Agami and Bernards, 2000) | Reference Offset:  ['43727-44307'] | Reference Text:  Cells were transfected with either DOTAP (Boehringer Mannheim) or Lipofectamine (Gibco-BRL). To obtain high transfection efficiency, 3 × 105 MCF-7 cells were resuspended in 100 μl of electroporation buffer containing 2 mM HEPES (pH 7.2), 15 mM K2HPO4/KH2PO4, 250 mM manitol, and 1mM MgCl2 at a final pH of 7.2. Either 1 or 2 μg of DNA was added and the cells and DNA were transferred to a 0.1 cm electroporation cuvette (BioRad) and electroporated with Gene Pulser II apparatus and Gene Pulser II RF module (BioRad) at 140 volts, 15 times 1.5 ms burst duration and 1.5 s intervals | Discourse Facet:  Method_Citation | Annotator:  D, |

Topic ID: D1404_TRAIN | Citance Number: 6 | Reference Article:  Agami,Bernards.txt | Citing Article:  Krieger.txt | Citation Marker Offset:  14579-14581 | Citation Marker:  14 | Citation Offset:  14390-14582 | Citation Text:  In the case of cell response to stress, cyclin D1 can be degraded through its binding to the anaphase-promoting complex and a RXXL sequence located in the NH2-terminal part of the protein [14] | Reference Offset:  ['17218-17387', '19253-19446'] | Reference Text:  Close inspection of the cyclin D1 protein sequence revealed that cyclin D1, but not cyclin D2 and D3, harbors a destruction box–like motif in its N terminus ( Figure 4C) ... This result demonstrates that the RxxL motif of cyclin D1 is necessary and, when placed in the context of a D-type cyclin, also sufficient to mediate degradation in response to genotoxic stress | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1404_TRAIN | Citance Number: 7 | Reference Article:  Agami,Bernards.txt | Citing Article:  Liu.txt | Citation Marker Offset:  19784-19786 | Citation Marker:  17 | Citation Offset:  19551-19787 | Citation Text:  It has been shown that the activities of many regulatory factors of checkpoints are lost or arrested during the process of tumorigenesis [16], and found that some anti-tumor reagents could restore the altered regulatory checkpoints [17] | Reference Offset:  ['11855-11959'] | Reference Text:  Cyclin D1 was also rapidly degraded in response to other genotoxic agents such as cis-platin (Figure 2H) | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1404_TRAIN | Citance Number: 8 | Reference Article:  Agami,Bernards.txt | Citing Article:  McFeat.txt | Citation Marker Offset:  25002-25004 | Citation Marker:  28 | Citation Offset:  24894-25028 | Citation Text:  The induction of both apoptosis and cell cycle arrest by UVC are associated with p53 perhaps by ATR kinase [28], [29] reviewed in [30] | Reference Offset:  ['33702-33926'] | Reference Text:  At a later stage, p53 activity is required to maintain and further strengthen the initial p53-independent G1 arrest. These distinct mechanisms cooperate to achieve a fast and sustained G1 arrest in response to IR (Figure 7G) | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1404_TRAIN | Citance Number: 9 | Reference Article:  Agami,Bernards.txt | Citing Article:  Shao.txt | Citation Marker Offset:  19871-19873 | Citation Marker:  25 | Citation Offset:  19712-19874 | Citation Text:  In fact, genotoxic stresses such as ionizing radiation have been demonstrated to trigger rapid proteolysis of cyclin D1, leading to p53-independent G1 arrest (25) | Reference Offset:  ['33197-33926'] | Reference Text:  Genotoxic stresses, such as IR, induce a fast and strong G1 arrest that is sustained over a prolonged period of time. We report here that this type of G1 arrest builds up in two different and mechanistically distinct phases: initiation and maintenance. The initial process is fast (accomplished in a period of less than 10 hr), strong (more than 15% increase in G1 in an asynchronous population), and is mediated by cyclin D1 degradation. p53 activity is dispensable for G1 arrest in this initial period. At a later stage, p53 activity is required to maintain and further strengthen the initial p53-independent G1 arrest. These distinct mechanisms cooperate to achieve a fast and sustained G1 arrest in response to IR (Figure 7G) | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1404_TRAIN | Citance Number: 10 | Reference Article:  Agami,Bernards.txt | Citing Article:  Voorhoeve,Agami.txt | Citation Marker Offset:  27215-27239 | Citation Marker:  Agami and Bernards, 2000 | Citation Offset:  27151-27402 | Citation Text:  MCF7 or HeLa cells were electroporated as described previously (Agami and Bernards, 2000) to more than 95% efficiency with pSuper constructs against the various targets, and 72 hr later, protein expression was analyzed by SDS-PAGE and Western blotting | Reference Offset:  ['43727-44307'] | Reference Text:  Cells were transfected with either DOTAP (Boehringer Mannheim) or Lipofectamine (Gibco-BRL). To obtain high transfection efficiency, 3 × 105 MCF-7 cells were resuspended in 100 μl of electroporation buffer containing 2 mM HEPES (pH 7.2), 15 mM K2HPO4/KH2PO4, 250 mM manitol, and 1mM MgCl2 at a final pH of 7.2. Either 1 or 2 μg of DNA was added and the cells and DNA were transferred to a 0.1 cm electroporation cuvette (BioRad) and electroporated with Gene Pulser II apparatus and Gene Pulser II RF module (BioRad) at 140 volts, 15 times 1.5 ms burst duration and 1.5 s intervals | Discourse Facet:  Method_Citation | Annotator:  D, |

