Topic ID: D1404_TRAIN | Citance Number: 1 | Reference Article:  Agami,Bernards.txt | Citing Article:  Chen.txt | Citation Marker Offset:  3240-3241 | Citation Marker:  9 | Citation Offset:  3112-3242 | Citation Text:  Ionizing radiation was shown to activate the APC/C to degrade cyclin D1, which triggers an immediate p53-independent G1 arrest [9] | Reference Offset:  ['20464-20667'] | Reference Text:  These results suggest that the APC is constitutively associated with the cyclin D1/CDK4 complex and are consistent with a model in which the APC is responsible for cyclin D1 proteolysis in response to IR | Discourse Facet:  Implication_Citation | Annotator:  F, |

Topic ID: D1404_TRAIN | Citance Number: 2 | Reference Article:  Agami,Bernards.txt | Citing Article:  Kim.txt | Citation Marker Offset:  16659-16661 | Citation Marker:  31 | Citation Offset:  16508-16662 | Citation Text:  Alternatively, the anaphase promoting complex (APC) is responsible for the rapid degradation of cyclin D1 in cells irradiated with ionizing radiation [31] | Reference Offset:  ['20464-20667'] | Reference Text:  These results suggest that the APC is constitutively associated with the cyclin D1/CDK4 complex and are consistent with a model in which the APC is responsible for cyclin D1 proteolysis in response to IR | Discourse Facet:  Implication_Citation | Annotator:  F, |

Topic ID: D1404_TRAIN | Citance Number: 3 | Reference Article:  Agami,Bernards.txt | Citing Article:  Kim.txt | Citation Marker Offset:  16799-16801 | Citation Marker:  31 | Citation Offset:  16664-16811 | Citation Text:  APC-dependent degradation of cyclin D1 does not require threonine 286 phosphorylation, but the presence of a “cyclin degradation box” [31] and [32] | Reference Offset:  ['40611-40757'] | Reference Text:  Our identification of the RxxL destruction motif as a necessary element for cyclin D1 degradation points to the involvement of APC in this process | Discourse Facet:  Implication_Citation | Annotator:  F, |

Topic ID: D1404_TRAIN | Citance Number: 4 | Reference Article:  Agami,Bernards.txt | Citing Article:  Kim.txt | Citation Marker Offset:  17191-17193 | Citation Marker:  31 | Citation Offset:  16949-17209 | Citation Text:  Inactivation of one or more components of the cyclin D1–Rb pathway is observed in most tumors, suggesting that deregulation of surveillance check point mechanism(s) in this pathway likely contributes to uncontrolled cell proliferation [26], [31], [33] and [34] | Reference Offset:  ['42210-42447'] | Reference Text:  This suggests that specific inhibition of genotoxic stress induced-cyclin D1 degradation could make radiotherapy more effective and selective as tumor cells often express much higher levels of cyclin D1 than the surrounding normal tissue | Discourse Facet:  Results_Citation | Annotator:  F, |

Topic ID: D1404_TRAIN | Citance Number: 5 | Reference Article:  Agami,Bernards.txt | Citing Article:  Kolfschoten.txt | Citation Marker Offset:  35979-36003 | Citation Marker:  Agami and Bernards, 2000 | Citation Offset:  35875-36022 | Citation Text:  T47D, MCF-7, Skbr3, HeLa, and Caco-2 cells were transfected by electroporation as described previously (Agami and Bernards, 2000). Ecopack2, HEK293 | Reference Offset:  ['43820-44307'] | Reference Text:  To obtain high transfection efficiency, 3 × 105 MCF-7 cells were resuspended in 100 μl of electroporation buffer containing 2 mM HEPES (pH 7.2), 15 mM K2HPO4/KH2PO4, 250 mM manitol, and 1mM MgCl2 at a final pH of 7.2. Either 1 or 2 μg of DNA was added and the cells and DNA were transferred to a 0.1 cm electroporation cuvette (BioRad) and electroporated with Gene Pulser II apparatus and Gene Pulser II RF module (BioRad) at 140 volts, 15 times 1.5 ms burst duration and 1.5 s intervals | Discourse Facet:  Method_Citation | Annotator:  F, |

Topic ID: D1404_TRAIN | Citance Number: 6 | Reference Article:  Agami,Bernards.txt | Citing Article:  Krieger.txt | Citation Marker Offset:  14579-14581 | Citation Marker:  14 | Citation Offset:  14390-14582 | Citation Text:  In the case of cell response to stress, cyclin D1 can be degraded through its binding to the anaphase-promoting complex and a RXXL sequence located in the NH2-terminal part of the protein [14] | Reference Offset:  ['18064-18200'] | Reference Text:  These data suggest that the RxxL destruction box in cyclin D1 is the major motif that renders cyclin D1 susceptible to degradation by IR | Discourse Facet:  Results_Citation | Annotator:  F, |

Topic ID: D1404_TRAIN | Citance Number: 7 | Reference Article:  Agami,Bernards.txt | Citing Article:  Liu.txt | Citation Marker Offset:  19784-19786 | Citation Marker:  17 | Citation Offset:  19551-19787 | Citation Text:  It has been shown that the activities of many regulatory factors of checkpoints are lost or arrested during the process of tumorigenesis [16], and found that some anti-tumor reagents could restore the altered regulatory checkpoints [17] | Reference Offset:  ['29365-29577'] | Reference Text:  In agreement with a role for cyclin D1 in the initiation of G1 arrest following irradiation, we found that the S-phase response to IR of primary MEFs lacking cyclin D1 is defective when compared to wild-type MEFs | Discourse Facet:  Results_Citation | Annotator:  F, |

Topic ID: D1404_TRAIN | Citance Number: 8 | Reference Article:  Agami,Bernards.txt | Citing Article:  McFeat.txt | Citation Marker Offset:  25002-25004 | Citation Marker:  28 | Citation Offset:  24894-25028 | Citation Text:  The induction of both apoptosis and cell cycle arrest by UVC are associated with p53 perhaps by ATR kinase [28], [29] reviewed in [30] | Reference Offset:  ['4242-4420'] | Reference Text:  In response to IR, rapid phosphorylation of p53 by the ATM-CHK2 pathway on serines 15 and 20 leads to release of Mdm2 and stabilization of p53 (Meek 1999, and references therein) | Discourse Facet:  Discussion_Citation | Annotator:  F, |

Topic ID: D1404_TRAIN | Citance Number: 9 | Reference Article:  Agami,Bernards.txt | Citing Article:  Shao.txt | Citation Marker Offset:  19871-19873 | Citation Marker:  25 | Citation Offset:  19712-19874 | Citation Text:  In fact, genotoxic stresses such as ionizing radiation have been demonstrated to trigger rapid proteolysis of cyclin D1, leading to p53-independent G1 arrest (25) | Reference Offset:  ['28017-28195'] | Reference Text:  These results suggest strongly that in the absence of a functional p53 DNA damage checkpoint, the initial G1 arrest in response to IR is the result of rapid cyclin D1 degradation | Discourse Facet:  Implication_Citation | Annotator:  F, |

Topic ID: D1404_TRAIN | Citance Number: 10 | Reference Article:  Agami,Bernards.txt | Citing Article:  Voorhoeve,Agami.txt | Citation Marker Offset:  27215-27239 | Citation Marker:  Agami and Bernards, 2000 | Citation Offset:  27151-27402 | Citation Text:  MCF7 or HeLa cells were electroporated as described previously (Agami and Bernards, 2000) to more than 95% efficiency with pSuper constructs against the various targets, and 72 hr later, protein expression was analyzed by SDS-PAGE and Western blotting | Reference Offset:  ['22460-22748'] | Reference Text:  (A) MCF-7 cells were transfected by electroporation with either vector or histone H2B-GFP expression construct. After 17 hr, cells were washed to clear dead cells and after an additional 48 hr, analyzed by FACS. Transfected population is indicated and reproducibility was greater than 90% | Discourse Facet:  Method_Citation | Annotator:  F, |

Topic ID: D1404_TRAIN | Citance Number: 11 | Reference Article:  Agami,Bernards.txt | Citing Article:  Yang.txt | Citation Marker Offset:  35519-35521 | Citation Marker:  51 | Citation Offset:  35323-35522 | Citation Text:  It has been shown, however, that ubiquitination of cyclin D1 can efficiently take place following phosphorylation of another site [49], or without the apparent requirement for phosphorylation [50,51] | Reference Offset:  ['15547-15726'] | Reference Text:  Collectively, these results strongly suggest that cyclin D1 degradation induced by genotoxic stress is independent of the PI3K-PKB/Akt-GSK3β pathway, CDK4/6 kinase and pRb binding | Discourse Facet:  Implication_Citation | Annotator:  F, |

Topic ID: D1404_TRAIN | Citance Number: 12 | Reference Article:  Agami,Bernards.txt | Citing Article:  Voorhoeve.txt | Citation Marker Offset:  46488-46512 | Citation Marker:  Agami and Bernards, 2000 | Citation Offset:  46422-46513 | Citation Text:  IP-kinase assay and flowcytometry were performed as described in (Agami and Bernards, 2000) | Reference Offset:  ['44921-45188'] | Reference Text:  For FACS analysis, cells were trypsinized and resuspended in 600 μl solution containing 0.6% NP-40, 50 μg/ml RNaseA, and 50 μg/ml propidium iodide in PBS. In each assay, 10,000 cells were collected by FACScan and analyzed with the CellQuest program (Becton Dickinson) | Discourse Facet:  Method_Citation | Annotator:  F, |

