Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,Link,Document Type,Source
"Voorhoeve, P.M., le Sage, C., Schrier, M., Gillis, A.J.M., Stoop, H., Nagel, R., Liu, Y.-P., van Duijse, J., Drost, J., Griekspoor, A., Zlotorynski, E., Yabuta, N., De Vita, G., Nojima, H., Looijenga, L.H.J., Agami, R.",A Genetic Screen Implicates miRNA-372 and miRNA-373 As Oncogenes in Testicular Germ Cell Tumors,2006,Cell,124,6,,1169,1181,,624,http://www.scopus.com/inward/record.url?eid=2-s2.0-33646056975&partnerID=40&md5=0f016005b3cc7202e35bc57187248efd,Article,Scopus
"Shaham, O., Gueta, K., Mor, E., Oren-Giladi, P., Grinberg, D., Xie, Q., Cvekl, A., Shomron, N., Davis, N., Keydar-Prizant, M., Raviv, S., Pasmanik-Chor, M., Bell, R.E., Levy, C., Avellino, R., Banfi, S., Conte, I., Ashery-Padan, R.",Pax6 Regulates Gene Expression in the Vertebrate Lens through miR-204,2013,PLoS Genetics,9,3, e1003357,,,,5,http://www.scopus.com/inward/record.url?eid=2-s2.0-84875981176&partnerID=40&md5=8b348ff29cde7288c23b512af83d13e1,Article,Scopus
"Huang, T.-C., Pinto, S.M., Pandey, A.",Proteomics for understanding miRNA biology,2013,Proteomics,13,4-Mar,,558,567,,4,http://www.scopus.com/inward/record.url?eid=2-s2.0-84873997538&partnerID=40&md5=eb8ba12f099175b4b53890a3f6045730,Review,Scopus
"Cavallo, F., Graziani, G., Antinozzi, C., Feldman, D.R., Houldsworth, J., Bosl, G.J., Chaganti, R.S.K., Moynahan, M.E., Jasin, M., Barchi, M.",Reduced Proficiency in Homologous Recombination Underlies the High Sensitivity of Embryonal Carcinoma Testicular Germ Cell Tumors to Cisplatin and Poly (ADP-Ribose) Polymerase Inhibition,2012,PLoS ONE,7,12, e51563,,,,4,http://www.scopus.com/inward/record.url?eid=2-s2.0-84871229659&partnerID=40&md5=5737a4567a02c71db7b8c900c5d60ef8,Article,Scopus
"Guo, S., Bai, H., Megyola, C.M., Halene, S., Krause, D.S., Scadden, D.T., Lu, J.",Complex oncogene dependence in microRNA-125a-induced myeloproliferative neoplasms,2012,Proceedings of the National Academy of Sciences of the United States of America,109,41,,16636,16641,,5,http://www.scopus.com/inward/record.url?eid=2-s2.0-84867371465&partnerID=40&md5=b5bae6a304c6f9ea80da8934ca7f2c44,Article,Scopus
"Korkmaz, G., Ayse Tekirdag, K., Gulfem Ozturk, D., Kosar, A., Ugur Sezerman, O., Gozuacik, D.",MIR376A is a regulator of starvation-induced autophagy,2013,PLoS ONE,8,12, e82556,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84892752232&partnerID=40&md5=a74a90dbad02d7466616c9ee3ec387de,Article,Scopus
"Hausser, J., Syed, A.P., Bilen, B., Zavolan, M.",Analysis of CDS-located miRNA target sites suggests that they can effectively inhibit translation,2013,Genome Research,23,4,,604,615,,13,http://www.scopus.com/inward/record.url?eid=2-s2.0-84875992976&partnerID=40&md5=ddc9f78cb8efb4960e4c7422019a8c90,Article,Scopus
"Ventura, A., Jacks, T.",MicroRNAs and Cancer: Short RNAs Go a Long Way,2009,Cell,136,4,,586,591,,287,http://www.scopus.com/inward/record.url?eid=2-s2.0-60149084560&partnerID=40&md5=3b2f0c423472c9509dc460811a6e75d7,Short Survey,Scopus
"Kedde, M., Strasser, M.J., Boldajipour, B., Vrielink, J.A.F.O., Slanchev, K., le Sage, C., Nagel, R., Voorhoeve, P.M., van Duijse, J., ’…rom, U.A., Lund, AndersH., Perrakis, A., Raz, E., Agami, R.",RNA-Binding Protein Dnd1 Inhibits MicroRNA Access to Target mRNA,2007,Cell,131,7,,1273,1286,,285,http://www.scopus.com/inward/record.url?eid=2-s2.0-38349118916&partnerID=40&md5=5e6cd9ce55aae1bf00ff4f9c10f5bb7e,Article,Scopus
"Sureban, S.M., May, R., Qu, D., Weygant, N., Chandrakesan, P., Ali, N., Lightfoot, S.A., Pantazis, P., Rao, C.V., Postier, R.G., Houchen, C.W.",DCLK1 Regulates Pluripotency and Angiogenic Factors via microRNA-Dependent Mechanisms in Pancreatic Cancer,2013,PLoS ONE,8,9, e73940,,,,2,http://www.scopus.com/inward/record.url?eid=2-s2.0-84883613491&partnerID=40&md5=85deda85c8fdfe3c88c6423e6555293b,Article,Scopus
"Valastyan, S., Reinhardt, F., Benaich, N., Calogrias D., Sz‡sz, A.M., Wang, Z.C., Brock, J.E., Richardson, A.L., Weinberg, R.A.","A Pleiotropically Acting MicroRNA, miR-31, Inhibits Breast Cancer Metastasis",2009,Cell,137,,,1032,1046,,,,,
