Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,Link,Document Type,Source
"Westbrook, T.F., Martin, E.S., Schlabach, M.R., Leng, Y., Liang, A.C., Feng, B., Zhao, J.J., Roberts, T.M., Mandel, G., Hannon, G.J., DePinho, R.A., Chin, L., Elledge, S.J.",A Genetic Screen for Candidate Tumor Suppressors Identifies REST,2005,Cell,121,,,837,848,,,,,
"Chen, G.-L., Miller, G.M.",Extensive Alternative Splicing of the Repressor Element Silencing Transcription Factor Linked to Cancer,2013,PLoS ONE,8,4, e62217,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84876171528&partnerID=40&md5=ca266e9fc4880cccded92d5c7253ca70,Article,Scopus
"Conti, L., Crisafulli, L., Caldera, V., Tortoreto, M., Brilli, E., Conforti, P., Zunino, F., Magrassi, L., Schiffer, D., Cattaneo, E.",REST controls self-renewal and tumorigenic competence of human glioblastoma cells,2012,PLoS ONE,7,6, e38486,,,,4,http://www.scopus.com/inward/record.url?eid=2-s2.0-84862188342&partnerID=40&md5=880816353a2f6907fb23d5a5dda6286d,Article,Scopus
"Sun, T., Aceto, N., Meerbrey, K.L., Kessler, J.D., Zhou, C., Migliaccio, I., Nguyen, D.X., Pavlova, N.N., Botero, M., Huang, J., Bernardi, R.J., Schmitt, E., Hu, G., Li, M.Z., Dephoure, N., Gygi, S.P., Rao, M., Creighton, C.J., Hilsenbeck, S.G., Shaw, C.A., Muzny, D., Gibbs, R.A., Wheeler, D.A., Osborne, C.K., Schiff, R., Bentires-Alj, M., Elledge, S.J., Westbrook, T.F.",Activation of multiple proto-oncogenic tyrosine kinases in breast cancer via loss of the PTPN12 phosphatase,2011,Cell,144,5,,703,718,,74,http://www.scopus.com/inward/record.url?eid=2-s2.0-79952292499&partnerID=40&md5=72d84d58ddc0af22706814acfd59a4f6,Article,Scopus
"Hitomi, J., Christofferson, D.E., Ng, A., Yao, J., Degterev, A., Xavier, R.J., Yuan, J.",Identification of a Molecular Signaling Network that Regulates a Cellular Necrotic Cell Death Pathway,2008,Cell,135,7,,1311,1323,,318,http://www.scopus.com/inward/record.url?eid=2-s2.0-57649181391&partnerID=40&md5=4ac85c646ef5acb3b33d9a74583d056c,Article,Scopus
"Campbell, P.A., Perez-Iratxeta, C., Andrade-Navarro, M.A., Rudnicki, M.A.",Oct4 targets regulatory nodes to modulate stem cell function,2007,PLoS ONE,2,6, e553,,,,38,http://www.scopus.com/inward/record.url?eid=2-s2.0-37349131125&partnerID=40&md5=e528bf1c0804530df0c6cfd539c95def,Article,Scopus
"Agami, R.",All Roads Lead to IKKԵ,2007,Cell,129,6,,1043,1045,,7,http://www.scopus.com/inward/record.url?eid=2-s2.0-34249981453&partnerID=40&md5=ea61ceebeecb34c5aa97467433e3080e,Short Survey,Scopus
"Boehm, J.S., Zhao, J.J., Yao, J., Kim, S.Y., Firestein, R., Dunn, I.F., Sjostrom, S.K., Garraway, L.A., Weremowicz, S., Richardson, A.L., Greulich, H., Stewart, C.J., Mulvey, L.A., Shen, R.R., Ambrogio, L., Hirozane-Kishikawa, T., Hill, D.E., Vidal, M., Meyerson, M., Grenier, J.K., Hinkle, G., Root, D.E., Roberts, T.M., Lander, E.S., Polyak, K., Hahn, W.C.",Integrative Genomic Approaches Identify IKBKE as a Breast Cancer Oncogene,2007,Cell,129,6,,1065,1079,,221,http://www.scopus.com/inward/record.url?eid=2-s2.0-34249993765&partnerID=40&md5=cb229206304ca8657defafdd23775066,Article,Scopus
"Voorhoeve, P.M., le Sage, C., Schrier, M., Gillis, A.J.M., Stoop, H., Nagel, R., Liu, Y.-P., van Duijse, J., Drost, J., Griekspoor, A., Zlotorynski, E., Yabuta, N., De Vita, G., Nojima, H., Looijenga, L.H.J., Agami, R.",A Genetic Screen Implicates miRNA-372 and miRNA-373 As Oncogenes in Testicular Germ Cell Tumors,2006,Cell,124,6,,1169,1181,,624,http://www.scopus.com/inward/record.url?eid=2-s2.0-33646056975&partnerID=40&md5=0f016005b3cc7202e35bc57187248efd,Article,Scopus
"Bric, A., Miething, C., Bialucha, C.U., Scuoppo, C., Zender, L., Krasnitz, A., Xuan, Z., Zuber, J., Wigler, M., Hicks, J., McCombie, R.W., Hemann, M.T., Hannon, G.J., Powers, S., Lowe, S.W.",Functional Identification of Tumor-Suppressor Genes through an In Vivo RNA Interference Screen in a Mouse Lymphoma Model,2009,Cancer Cell,16,4,,324,335,,61,http://www.scopus.com/inward/record.url?eid=2-s2.0-70349454058&partnerID=40&md5=faa38874aab2a2c42d8c524933ba0446,Article,Scopus
"Gewinner, C., Wang, Z.C., Richardson, A., Teruya-Feldstein, J., Etemadmoghadam, D., Bowtell, D., Barretina, J., Lin, W.M., Rameh, L., Salmena, L., Pandolfi, P.P., Cantley, L.C.",Evidence that Inositol Polyphosphate 4-Phosphatase Type II Is a Tumor Suppressor that Inhibits PI3K Signaling,2009,Cancer Cell,16,2,,115,125,,114,http://www.scopus.com/inward/record.url?eid=2-s2.0-67651148274&partnerID=40&md5=04956e2c636b0b93745b3f6baa799785,Article,Scopus
