Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Document Type,Source
"Agami, R., Bernards, R.",Distinct Initiation and Maintenance Mechanisms Cooperate to Induce G1 Cell Cycle Arrest in Response to DNA Damage,2000,Cell,102,,,55,66,,,,,,,,
"Kim A.L., Gautier J., Bickers D.R., Athar M.",Reduced cyclin D1 ubiquitination in UVB-induced murine squamous cell carcinomas,2002,Biochemical and Biophysical Research Communications,298,3,,377,382,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0036430414&partnerID=40&md5=3eadb1a4cb80edccd9a11114edb64b18,"Department of Dermatology, Columbia University College of Physicians and Surgeons, United States; Department of Genetics and Development, Columbia University College of Physicians and Surgeons, United States","Kim, A.L., Department of Dermatology, Columbia University College of Physicians and Surgeons, United States; Gautier, J., Department of Dermatology, Columbia University College of Physicians and Surgeons, United States, Department of Genetics and Development, Columbia University College of Physicians and Surgeons, United States; Bickers, D.R., Department of Dermatology, Columbia University College of Physicians and Surgeons, United States; Athar, M., Department of Dermatology, Columbia University College of Physicians and Surgeons, United States","Ubiquitination of cyclin D1 signals for its proteosomal degradation. To assess the possibility that reduced cyclin D1 proteolysis is a putative mechanism for its accumulation during UVB-induced skin tumorigenesis, ubiquitination activity of cyclin D1 was assessed in UVB-induced murine SCCs. Cyclin D1 was rapidly ubiquitinated by control skin extract, whereas ubiquitination of cyclin D1 was significantly reduced in SCCs. Mutant cyclin D1, in which residues important for GSK3Ô_-mediated degradation of cyclin D1 are altered to non-phosphorylatable alanine, was not ubiquitinated. We also observed phosphorylation-dependent inactivation of GSK3Ô_ in SCCs. Our results indicate reduced ubiquitination of cyclin D1 in UVB-induced murine SCCs and suggest that inactivation of GSK3Ô_-dependent cyclin D1 degradation pathway contributes to the accumulation of cyclin D1 in UVB-induced murine SCCs. Î© 2002 Elsevier Science (USA). All rights reserved.",Cyclin D1; GSK3Ô_; Phosphorylation; Proteolysis; Skin; Squamous cell carcinoma; Ubiquitination; UVB,Article,Scopus
"Krieger S., Gauduchon J., Roussel M., Troussard X., Sola B.",Relevance of cyclin D1b expression and CCND1 polymorphism in the pathogenesis of multiple myeloma and mantle cell lymphoma,2006,BMC Cancer,6,,238,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-33750278124&partnerID=40&md5=3c8ff77a45b527d4e74572e664228e84,"Laboratoire de Biologie Mol’©culaire et Cellulaire de la Signalisation, Universit’© de Caen, Caen, France; Laboratoire d'H’©matologie, CHU C’‚te de Nacre, Caen, France","Krieger, S., Laboratoire de Biologie Mol’©culaire et Cellulaire de la Signalisation, Universit’© de Caen, Caen, France; Gauduchon, J., Laboratoire de Biologie Mol’©culaire et Cellulaire de la Signalisation, Universit’© de Caen, Caen, France; Roussel, M., Laboratoire de Biologie Mol’©culaire et Cellulaire de la Signalisation, Universit’© de Caen, Caen, France; Troussard, X., Laboratoire de Biologie Mol’©culaire et Cellulaire de la Signalisation, Universit’© de Caen, Caen, France, Laboratoire d'H’©matologie, CHU C’‚te de Nacre, Caen, France; Sola, B., Laboratoire de Biologie Mol’©culaire et Cellulaire de la Signalisation, Universit’© de Caen, Caen, France","Background: the CCND1 gene generates two mRNAs (cyclin D1a and D1b) through an alternative splicing at the site of a common A/G polymorphism. Cyclin D1a and b proteins differ in their C-terminus, a region involved in protein degradation and sub-cellular localization. Recent data have suggested that cyclin D1b could be a nuclear oncogene. The presence of cyclin D1b mRNA and protein has been studied in two hemopathies in which cyclin D1 could be present: multiple myeloma (MM) and mantle cell lymphoma (MCL). The A/G polymorphism of CCND1 has also been verified in a series of patients. Methods: The expression of cyclin D1 mRNA isoforms has been studied by real-time quantitative PCR; protein isoforms expression, localization and degradation by western blotting. The CCND1 polymorphism was analyzed after sequencing genomic DNA. Results: Cyclin D1 mRNA isoforms a and b were expressed in mantle cell lymphoma (MCL) and multiple myeloma (MM). Cyclin D1b proteins were present in MCL, rarely in MM. Importantly, both protein isoforms localized the nuclear and cytoplasmic compartments. They displayed the same short half-life. Thus, the two properties of cyclin D1b recognized as necessary for its transforming activity are missing in MCL. Moreover, CCND1 polymorphism at the exon/intron boundary had no influence on splicing regulation in MCL cells. Conclusion: Our results support the notion that cyclin D1b is not crucial for the pathogenesis of MCL and MM. Î© 2006 Krieger et al; licensee BioMed Central Ltd.",,Article,Scopus
"Liu J., Hu W.-X., He L.-F., Ye M., Li Y.",Effects of lycorine on HL-60 cells via arresting cell cycle and inducing apoptosis,2004,FEBS Letters,578,3,,245,250,,http://www.scopus.com/inward/record.url?eid=2-s2.0-10044221979&partnerID=40&md5=2a9c0c7de824d6315d4a36b976f2ae97,"Molecular Biology Research Center, Xiangya Medical College, Ctrl. S. Univ., Changsha, H., China; Department of Cell Biology, Xiangya Medical College, Ctrl. S. Univ., Changsha, H., China; Cancer Research Institute, Xiangya Medical College, Ctrl. S. Univ., Changsha, H., China","Liu, J., Molecular Biology Research Center, Xiangya Medical College, Ctrl. S. Univ., Changsha, H., China; Hu, W.-X., Molecular Biology Research Center, Xiangya Medical College, Ctrl. S. Univ., Changsha, H., China; He, L.-F., Department of Cell Biology, Xiangya Medical College, Ctrl. S. Univ., Changsha, H., China; Ye, M., Cancer Research Institute, Xiangya Medical College, Ctrl. S. Univ., Changsha, H., China; Li, Y., Molecular Biology Research Center, Xiangya Medical College, Ctrl. S. Univ., Changsha, H., China","As a natural anti-cancer alkaloid extracted from Amaryllidaceae, lycorine shows various biological effects on tumor cells. The survival rate of HL-60 cells exposed to lycorine was decreased in a dose-dependent manner with 1 Ô_M as the 50% inhibitory concentration (IC50), cell growth was slowed down by arresting cell cycle at G2/M phase, and cell regeneration potential was inhibited. HL-60 cells exhibited typical apoptotic morphological changes, apoptotic DNA ""ladder"" pattern, and sub-G1 peak in cell phase distribution, showing apoptosis of HL-60 cells. To further understand the apoptotic molecular mechanism of lycorine on HL-60 cells, caspase activity was tested by colorimetric assay, and the expression of Bcl-2 and Bax proteins was examined by Western blotting. The increase of caspase-8, -9, -3 activities demonstrated that caspase was a key mediator of apoptotic pathways induced by lycorine. Under-expression of Bcl-2 and increase of Bax:Bcl-2 ratio showed that Bcl-2 family proteins were involved in apoptosis. Our finding suggests that lycorine can suppress leukemia growth and reduce cell survival via arresting cell cycle and inducing apoptosis of tumor cells. Î© 2004 Federation of European Biochemical Societies. Published by Elsevier B.V. All rights reserved.",Apoptosis; Cell cycle; HL-60 cell line; Leukemia; Lycorine,Article,Scopus
"Shao J., Teraishi F., Katsuda K., Tanaka N., Fujiwara T.",p53 inhibits adriamycin-induced down-regulation of cyclin D1 expression in human cancer cells,2002,Biochemical and Biophysical Research Communications,290,3,,1101,1107,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0036289330&partnerID=40&md5=7f9e4ac3e6d75bf927dc8dbb4ecf5c47,"Department of Surgery, Okayama University, Graduate School of Med./Dentistry, Okayama 700-8558, Japan","Shao, J., Department of Surgery, Okayama University, Graduate School of Med./Dentistry, Okayama 700-8558, Japan; Teraishi, F., Department of Surgery, Okayama University, Graduate School of Med./Dentistry, Okayama 700-8558, Japan; Katsuda, K., Department of Surgery, Okayama University, Graduate School of Med./Dentistry, Okayama 700-8558, Japan; Tanaka, N., Department of Surgery, Okayama University, Graduate School of Med./Dentistry, Okayama 700-8558, Japan; Fujiwara, T., Department of Surgery, Okayama University, Graduate School of Med./Dentistry, Okayama 700-8558, Japan","The tumor suppressor p53 gene product is an essential component of the cytotoxic pathway triggered by DNA-damaging stimuli such as chemotherapeutic agents and ionizing radiation. We previously demonstrated that adenovirus-mediated wild-type p53 gene transfer could enhance the cytotoxic actions of chemotherapeutic drugs both in vitro and in vivo; however, the molecular mechanism of this chemosensitization is still unclear. Cyclin D1 is a major regulator of the progression of cells into the proliferative stage of the cell cycle. Here we show that infection with an adenovirus vector expressing the wild-type p53 gene (Ad-p53) caused an increase in cyclin D1 protein levels in human colorectal cancer cell lines DLD-1 and SW620; treatment with the anti-cancer drug adriamycin, however, down-regulated their cyclin D1 protein expression in a dose-dependent manner. The suppression of cyclin D1 expression following adriamycin treatment could be blocked by simultaneous Ad-p53 infection. Furthermore, DLD-1 and SW620 cells transfected with the cyclin D1 expression construct displayed increased sensitivity to adriamycin compared to that of the vector-transfected control. Our results suggest that ectopic wild-type p53 gene transfer results in increased cyclin D1 expression and, consequently, sensitizes human colorectal cancer cells to chemotherapeutic agents. Î© 2002 Elsevier Science (USA).",Adenovirus vector; Adriamycin; Colorectal cancer; Cyclin D1; p53,Article,Scopus
"Voorhoeve P.M., le Sage C., Schrier M., Gillis A.J.M., Stoop H., Nagel R., Liu Y.-P., van Duijse J., Drost J., Griekspoor A., Zlotorynski E., Yabuta N., De Vita G., Nojima H., Looijenga L.H.J., Agami R.",A Genetic Screen Implicates miRNA-372 and miRNA-373 As Oncogenes in Testicular Germ Cell Tumors,2006,Cell,124,6,,1169,1181,,http://www.scopus.com/inward/record.url?eid=2-s2.0-33646056975&partnerID=40&md5=0f016005b3cc7202e35bc57187248efd,"Division of Tumour Biology, The Netherlands Cancer Institute, Amsterdam, Netherlands; Department of Pathology, Erasmus University Medical Center Rotterdam, Daniel den Hoed Cancer Center, Rotterdam, Netherlands; Dipartimento di Biologia e Patologia Cellulare e Molecolare, Universit’_ Federico II, CEINGE Biotecnologie Avanzate, Naples, Italy; Department of Molecular Genetics, Osaka University, Japan","Voorhoeve, P.M., Division of Tumour Biology, The Netherlands Cancer Institute, Amsterdam, Netherlands; le Sage, C., Division of Tumour Biology, The Netherlands Cancer Institute, Amsterdam, Netherlands; Schrier, M., Division of Tumour Biology, The Netherlands Cancer Institute, Amsterdam, Netherlands; Gillis, A.J.M., Department of Pathology, Erasmus University Medical Center Rotterdam, Daniel den Hoed Cancer Center, Rotterdam, Netherlands; Stoop, H., Department of Pathology, Erasmus University Medical Center Rotterdam, Daniel den Hoed Cancer Center, Rotterdam, Netherlands; Nagel, R., Division of Tumour Biology, The Netherlands Cancer Institute, Amsterdam, Netherlands; Liu, Y.-P., Division of Tumour Biology, The Netherlands Cancer Institute, Amsterdam, Netherlands; van Duijse, J., Division of Tumour Biology, The Netherlands Cancer Institute, Amsterdam, Netherlands; Drost, J., Division of Tumour Biology, The Netherlands Cancer Institute, Amsterdam, Netherlands; Griekspoor, A., Division of Tumour Biology, The Netherlands Cancer Institute, Amsterdam, Netherlands; Zlotorynski, E., Division of Tumour Biology, The Netherlands Cancer Institute, Amsterdam, Netherlands; Yabuta, N., Department of Molecular Genetics, Osaka University, Japan; De Vita, G., Dipartimento di Biologia e Patologia Cellulare e Molecolare, Universit’_ Federico II, CEINGE Biotecnologie Avanzate, Naples, Italy; Nojima, H., Department of Molecular Genetics, Osaka University, Japan; Looijenga, L.H.J., Department of Pathology, Erasmus University Medical Center Rotterdam, Daniel den Hoed Cancer Center, Rotterdam, Netherlands; Agami, R., Division of Tumour Biology, The Netherlands Cancer Institute, Amsterdam, Netherlands","Endogenous small RNAs (miRNAs) regulate gene expression by mechanisms conserved across metazoans. While the number of verified human miRNAs is still expanding, only few have been functionally annotated. To perform genetic screens for novel functions of miRNAs, we developed a library of vectors expressing the majority of cloned human miRNAs and created corresponding DNA barcode arrays. In a screen for miRNAs that cooperate with oncogenes in cellular transformation, we identified miR-372 and miR-373, each permitting proliferation and tumorigenesis of primary human cells that harbor both oncogenic RAS and active wild-type p53. These miRNAs neutralize p53-mediated CDK inhibition, possibly through direct inhibition of the expression of the tumor-suppressor LATS2. We provide evidence that these miRNAs are potential novel oncogenes participating in the development of human testicular germ cell tumors by numbing the p53 pathway, thus allowing tumorigenic growth in the presence of wild-type p53. Î© 2006 Elsevier Inc. All rights reserved.",,Article,Scopus
"Yang K., Guo Y., Stacey W.C., Harwalkar J., Fretthold J., Hitomi M., Stacey D.W.",Glycogen synthase kinase 3 has a limited role in cell cycle regulation of cyclin D1 levels,2006,BMC Cell Biology,7,,33,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-33749524648&partnerID=40&md5=b9252da91ca3c6fa5ae71f7c6ddf219d,"Department of Molecular Genetics, The Lerner Research Institute, The Cleveland Clinic Foundation, 9500 Euclid Avenue, Cleveland, OH, United States; The Department of Neurology, Hospital of the University of Pennsylvania, Philadelphia, PA, United States","Yang, K., Department of Molecular Genetics, The Lerner Research Institute, The Cleveland Clinic Foundation, 9500 Euclid Avenue, Cleveland, OH, United States; Guo, Y., Department of Molecular Genetics, The Lerner Research Institute, The Cleveland Clinic Foundation, 9500 Euclid Avenue, Cleveland, OH, United States; Stacey, W.C., The Department of Neurology, Hospital of the University of Pennsylvania, Philadelphia, PA, United States; Harwalkar, J., Department of Molecular Genetics, The Lerner Research Institute, The Cleveland Clinic Foundation, 9500 Euclid Avenue, Cleveland, OH, United States; Fretthold, J., Department of Molecular Genetics, The Lerner Research Institute, The Cleveland Clinic Foundation, 9500 Euclid Avenue, Cleveland, OH, United States; Hitomi, M., Department of Molecular Genetics, The Lerner Research Institute, The Cleveland Clinic Foundation, 9500 Euclid Avenue, Cleveland, OH, United States; Stacey, D.W., Department of Molecular Genetics, The Lerner Research Institute, The Cleveland Clinic Foundation, 9500 Euclid Avenue, Cleveland, OH, United States","Background: The expression level of cyclin D1 plays a vital role in the control of proliferation. This protein is reported to be degraded following phosphorylation by glycogen synthase kinase 3 (GSK3) on Thr-286. We recently showed that phosphorylation of Thr-286 is responsible for a decline in cyclin D1 levels during S phase, an event required for efficient DNA synthesis. These studies were undertaken to test the possibility that phosphorylation by GSK3 is responsible for the S phase specific decline in cyclin D1 levels, and that this event is regulated by the phosphatidylinositol 3-kinase (PI3K)/AKT signaling pathway which controls GSK3. Results: We found, however, that neither PI3K, AKT, GSK3, nor proliferative signaling activity in general is responsible for the S phase decline in cyclin D1 levels. In fact, the activity of these signaling kinases does not vary through the cell cycle of proliferating cells. Moreover, we found that GSK3 activity has little influence over cyclin D1 expression levels during any cell cycle phase. Inhibition of GSK3 activity by siRNA, LiCl, or other chemical inhibitors failed to influence cyclin D1 phosphorylation on Thr-286, even though LiCl efficiently blocked phosphorylation of Ô_-catenin, a known substrate of GSK3. Likewise, the expression of a constitutively active GSK3 mutant protein failed to influence cyclin D1 phosphorylation or total protein expression level. Conclusion: Because we were unable to identify any proliferative signaling molecule or pathway which is regulated through the cell cycle, or which is able to influence cyclin D1 levels, we conclude that the suppression of cyclin D1 levels during S phase is regulated by cell cycle position rather than signaling activity. We propose that this mechanism guarantees the decline in cyclin D1 levels during each S phase; and that in so doing it reduces the likelihood that simple over expression of cyclin D1 can lead to uncontrolled cell growth. Î© 2006 Yang et al; licensee BioMed Central Ltd.",,Article,Scopus
"Voorhoeve, P.M., Agami, R.",The tumor-suppressive functions of the human INK4A locus,2003,Cancer Cell,4,4,,311,319,,133,http://www.scopus.com/inward/record.url?eid=2-s2.0-0142258073&partnerID=40&md5=6fdb7c019492070f4721afc2bf9dce5b,Article,Scopus,,,
"Kolfschoten, I.G.M., Van Leeuwen, B., Berns, K., Mullenders, J., Beijersbergen, R.L., Bernards, R., Voorhoeve, P.M., Agami, R.",A genetic screen identifies PITX1 as a suppressor of RAS activity and tumorigenicity,2005,Cell,121,6,,849,858,,164,http://www.scopus.com/inward/record.url?eid=2-s2.0-20444426889&partnerID=40&md5=3be70e06b0187b199fef14a26ea551be,Article,Scopus,,,
"McFeat, G.D., Allinson, S.L., McMillan, T.J.",Characterisation of the p53-Mediated Cellular Responses Evoked in Primary Mouse Cells Following Exposure to Ultraviolet Radiation,2013,PLoS ONE,8,9, e75800,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84884797743&partnerID=40&md5=bc4d184b7ce50f032b47b6f505ff0883,Article,Scopus,,,
